	ERG	LDB1	TAL1	SIGLEC5	KLF4	HOXA4	CBFA2T3	LMO2	ETV6	FN3K	KLF11	ITGA2B7	FLI1	LYL1	CLNK	PAX5	CEACAM1-2	ITGA2B4	GATA1	MEIS1	LCK	CSF1R	ANXA2	AREG	GATA2	MITF	PLEK	PLOD3	JUN	FIGN	GFI1	NFE2	CSF2RB	CR1	HIST1H3A	Hsp-90	GFI1B	SPI1	IL7R	CD22	ABO	actin	HHEX	RUNX1	ID2	CST7	IL13RA1	CD34
Y112D4	1.875722945	1.115485976	0.488346327	2.5741E-297	0.143692775	2.5741E-297	0.719561351	1.934203072	4.712252636	2.5741E-297	2.5741E-297	2.5741E-297	3.211136286	1.106654166	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.63521163	2.5741E-297	2.5741E-297	2.5741E-297	0.496543935	0.56245415	2.5741E-297	1.923275192	2.5741E-297	1.411910119	2.5741E-297	2.5741E-297	3.455873525	2.5741E-297	2.5741E-297	1.969345494	0.667557862	0.637586019	2.118955511	2.5741E-297	2.5741E-297	0.292883742	9.580353426	1.069597404	1.676951531	2.5741E-297	2.5741E-297	2.5741E-297	2.573191175
Y112D5	2.487315053	1.951132656	0.408763776	0.0898311	0.302137667	0.011955647	0.153914556	1.848212291	1.065570843	2.5741E-297	2.5741E-297	2.5741E-297	1.254302808	0.010618792	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.902410625	2.5741E-297	0.006497553	0.076780823	0.357190509	0.58308058	2.5741E-297	0.340168934	2.5741E-297	0.234711514	2.5741E-297	2.5741E-297	1.346245628	2.5741E-297	0.206383123	1.085375353	1.815760917	2.5741E-297	0.434845083	2.5741E-297	2.5741E-297	2.5741E-297	10.91405299	0.18859983	0.547876124	2.5741E-297	2.5741E-297	2.5741E-297	1.32098548
Y112D6	1.391166856	0.317278779	0.085218612	0.182305554	0.38144564	0.254034506	0.18061544	1.287050594	2.973930144	0.13743173	2.5741E-297	2.5741E-297	0.241705771	0.182788984	2.5741E-297	2.5741E-297	2.5741E-297	0.159993765	2.5741E-297	0.285554003	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.521786892	2.5741E-297	0.33353169	2.5741E-297	0.240141016	0.002869106	0.125397554	2.190613176	2.5741E-297	0.219997703	0.756381392	1.215209876	2.5741E-297	0.776809226	2.5741E-297	2.5741E-297	0.361447256	10.46769523	0.179389929	0.148280891	0.008727923	2.5741E-297	2.5741E-297	0.928467009
Y112E1	2.970600022	0.269422345	0.154542718	2.5741E-297	2.5741E-297	0.155380746	0.092411914	2.207249348	4.137926841	2.5741E-297	2.5741E-297	2.5741E-297	2.373162949	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.18835831	2.5741E-297	2.5741E-297	0.090430415	2.5741E-297	2.5741E-297	2.5741E-297	0.286792071	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	3.638776442	2.5741E-297	0.357660194	1.522517896	1.931443056	1.099446544	2.5741E-297	2.5741E-297	2.5741E-297	0.484181246	17.47722964	0.38329853	1.441574751	2.5741E-297	2.5741E-297	0.099682686	1.582537898
Y112E2	1.819724233	1.877458545	0.002270673	2.5741E-297	0.009826609	0.555755343	0.272097603	2.848642299	3.29066903	2.5741E-297	0.001768511	2.5741E-297	0.773713084	0.814855928	2.5741E-297	2.5741E-297	0.187395842	2.5741E-297	2.5741E-297	0.083063165	2.5741E-297	2.5741E-297	2.5741E-297	0.349902401	1.040849776	2.5741E-297	0.328369429	2.5741E-297	2.538496505	0.094152185	0.260333947	1.37164024	2.5741E-297	2.5741E-297	1.402317351	2.040328931	2.5741E-297	0.703990483	2.5741E-297	2.5741E-297	0.624365503	17.06888276	1.186001177	1.848907654	2.5741E-297	2.5741E-297	2.5741E-297	3.60914262
Y112E3	1.852756164	0.31195156	0.368797032	2.5741E-297	0.338089035	2.5741E-297	0.110150043	1.739102078	1.418134014	0.488820069	2.5741E-297	2.5741E-297	1.468376462	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.519194789	2.5741E-297	2.5741E-297	0.169297296	2.033264194	0.476319353	2.5741E-297	2.5741E-297	2.5741E-297	5.200671985	0.131645807	2.5741E-297	0.504226268	2.5741E-297	2.5741E-297	1.74209848	1.452404283	2.5741E-297	0.211819758	2.5741E-297	2.5741E-297	0.165720467	3.383440191	0.608429842	0.277055887	2.5741E-297	2.5741E-297	2.5741E-297	0.796271313
Y112E4	2.755331819	1.288682374	2.5741E-297	2.5741E-297	0.132942117	2.5741E-297	0.095776143	2.205854277	2.160582051	0.190255469	2.5741E-297	2.5741E-297	2.431717522	0.345572819	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	1.439861045	2.5741E-297	2.5741E-297	2.5741E-297	0.517718841	0.193175529	2.5741E-297	0.803489165	2.5741E-297	1.579508105	0.209648187	2.5741E-297	2.023682748	2.5741E-297	2.5741E-297	1.938077975	2.451461115	0.403072747	0.255121247	2.5741E-297	2.5741E-297	2.5741E-297	13.29588177	1.355591274	1.288580446	2.5741E-297	2.5741E-297	2.5741E-297	0.358838022
Y112E5	1.812872311	0.522599227	2.5741E-297	0.188087625	0.215785951	2.5741E-297	2.5741E-297	1.297381268	1.044658118	0.082468588	2.5741E-297	2.5741E-297	2.5741E-297	0.438463611	0.00044859	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.424275643	2.5741E-297	2.5741E-297	0.000933914	0.731949864	2.5741E-297	2.5741E-297	0.025990157	2.5741E-297	0.753025921	0.128391043	2.5741E-297	1.635967633	2.5741E-297	0.71961721	0.020195843	1.261643047	0.43669696	0.416275059	2.5741E-297	0.119006902	2.5741E-297	5.373752999	0.232863329	1.155447108	0.095350269	2.5741E-297	2.5741E-297	1.809502513
Y112E6	1.551737077	0.535227767	0.212906165	2.5741E-297	0.248682757	0.149586087	0.415653218	1.46274588	1.415569747	0.19324409	2.5741E-297	2.5741E-297	1.980680919	0.284519727	2.5741E-297	2.5741E-297	0.203323642	2.5741E-297	2.5741E-297	1.149137704	2.5741E-297	2.5741E-297	2.5741E-297	0.336915818	0.348124848	2.5741E-297	0.230944179	2.5741E-297	2.814330934	2.5741E-297	2.5741E-297	2.316170191	2.5741E-297	0.121467661	0.465395008	0.24386975	0.084225185	1.163261291	2.5741E-297	2.5741E-297	0.337047943	19.69204496	0.189286636	1.342552128	1.367712075	2.5741E-297	2.5741E-297	3.297433601
Y112F1	2.369328691	0.782890386	0.438570386	2.5741E-297	2.5741E-297	2.5741E-297	0.276192344	2.163733232	3.104461054	2.5741E-297	2.5741E-297	2.5741E-297	0.969809407	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.705101364	2.5741E-297	2.5741E-297	2.5741E-297	3.877863108	1.209229334	2.5741E-297	0.260318388	2.5741E-297	0.222825543	0.015458199	0.080675109	1.781164574	2.5741E-297	0.204069511	3.542747784	1.888736683	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.328131142	10.40960018	0.847607999	1.347540007	2.5741E-297	2.5741E-297	0.19966625	1.718222589
