Chip Run Info,C:\Charlotta\Results PCR\#123 chip1 from #121 T21\ChipRun.bml,1131319150,48.48 (113x),GE 48x48 Standard v2,ROX,FAM-MGB,2014-09-01 13:57:08,01:30:15,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0,65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Detectors)


FAM-MGB Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,,
,,Tel,CCR9,CD10,CD19,Hmg2a,CD24,CD33,CD38,RPS18,IGF2BP2,CD62L (SELL),CD7,Igf2Bp1,ckit,CSF-1 R,CSF2ra,CSF-3 R,Cxcr4,E2a (TCF-3),Ebf1,EpoR,Flt3,GATA-1,Gata3,Hes1,HPRT,Ikaros,Il2rg,IL3RA,IL7r,Lin 28b,MPO,Notch1,IgM,PAX5,Gapdh,Pre-T?,PU.1,Cd34,Rag 2,mpl,Runx1,sterile Igh,Tcf7 ,Tdt,Tslpr (crlf2),VpreB,vWf,,
01,P5,14,9963750468199,999,10,5748872691012,15,2059237085025,999,8,57901793222083,999,14,1858578104248,9,98339096979984,15,6857224898065,999,999,13,376498975155,999,999,999,999,16,0849945780063,11,8342342846808,20,1431953114932,999,999,999,999,999,14,308265318807,999,14,7016528615183,999,12,1058787091957,999,999,15,8418691319697,999,11,2976173499903,9,4588268493464,999,12,6638789881295,16,330344406579,15,6114608702651,999,14,2517039798411,12,1243006065627,14,838926825236,20,0796513309279,999,13,4944509134462,999,,
02,P5,14,1194966337249,999,12,7469784407605,14,7535321703064,999,9,48558701167572,999,15,4108323294984,12,2685599722099,18,1668541035584,15,6933087271986,999,999,999,999,999,999,16,7245696466123,13,3064265853089,999,999,999,999,999,999,999,15,1948557352197,17,8446141111288,999,14,3957130024119,999,999,999,999,14,5595472532901,12,0346903985795,999,14,4450631087492,12,9113102438451,14,6224245205921,999,15,2256486291649,16,4029112269593,999,20,0969859020127,999,14,6830349439435,999,,
03,P5,999,999,999,999,999,21,122937139854,999,999,16,1182058214292,25,3609672601017,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,24,2059951253578,999,999,999,999,999,999,999,999,999,999,19,1441889865766,999,,
04,P18,999,999,999,999,999,13,8882750267735,999,999,12,8230685499563,15,7574057060652,999,999,999,999,999,999,999,15,5278783987081,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,16,0199016519206,999,999,999,999,999,999,999,999,999,999,18,4163685127159,999,,
05,P18,12,7936981711449,999,999,999,15,1611749461617,999,999,14,0177224400594,9,00023475885492,13,6561710130952,13,3413142695491,13,4199052232386,12,3198874417614,15,7453613946066,17,3592062144617,999,999,15,5301190148722,12,2083601805004,17,1730489475379,999,999,999,999,16,5852428447659,999,11,3572645449668,12,6779424686929,999,13,1004740158699,16,9069721344536,11,3970565421087,12,8783683002745,999,999,9,24281312949796,999,12,7939644640814,10,4769260413767,14,182435292726,18,5780239862184,11,4420615056793,13,9038580199981,14,0783114893636,999,999,17,332669622478,999,,
06,P18,13,4917964243127,999,15,1726096632882,999,999,17,1571368429544,17,0953121706439,14,001120870029,9,89645615537558,16,1254252766139,16,1747154740278,13,7624878970534,12,8542974418302,999,999,999,999,14,5545112524752,15,1675568890723,16,7235591099351,999,999,999,999,999,15,3820742795253,11,8812035671716,12,775474696319,999,9,73598907947039,16,7770795171282,999,16,3430606565984,999,999,9,72940380451952,999,12,3950574461221,14,1959614906383,13,2105447302602,999,13,3427175167388,15,4854483264117,999,999,999,14,9270433844887,999,,
07,P5,999,999,10,7253310349137,15,5586678461347,999,14,4829670257329,999,15,7798114892516,12,1333953463368,14,5105256988108,999,999,14,3802055755644,999,999,999,999,17,4062117127597,13,360041890809,18,6399808884894,999,999,999,999,999,999,14,6970329013489,999,999,13,8940464363088,999,999,999,999,15,4738738281947,13,0066846402144,999,14,6322948575327,14,1327422729899,15,5593790792036,999,999,13,1914592021861,999,22,3101008911649,999,13,4948927597675,999,,
08,P5,13,5762706558835,999,11,0008460732976,13,1843417176393,999,7,86676487202469,999,14,7939268434132,9,48844959083995,14,3304126520629,16,4378087958312,18,1389975945009,13,5501841999469,999,999,999,999,15,6487156836407,13,5564443480101,25,0127549484134,999,999,999,999,999,13,7100856139207,12,9400659854498,13,8617003970871,999,10,1472626996852,999,999,16,8927478359223,999,10,8795023315257,9,2517167386416,999,13,617033329498,999,13,0332338098979,999,12,012300481888,11,2540529487321,999,21,0881030338825,999,14,3170520647397,999,,
09,P5,999,999,11,568619226728,13,2540154427434,999,10,1680709162493,999,999,13,6216286340838,17,9738747651564,999,999,15,7741158765096,999,999,999,999,20,5362010522389,13,9106288274855,999,999,999,999,999,999,999,16,4215694371078,999,999,12,9992975411795,999,999,18,5476414917891,999,13,8927332935727,13,1508636600949,999,15,4946543443919,13,7736533203319,16,797406316765,999,15,0915447580267,15,1335978406521,999,25,2431312258896,999,14,7515338301596,999,,
10,P18,15,830220435547,999,999,999,999,23,1638611613399,999,14,6773161808659,9,69468163742482,14,5894035376088,17,7655770159965,999,12,506598044261,15,5694200950414,16,6952979579571,14,5987101652482,999,14,4075176687585,24,9485523603691,15,6291460107118,999,999,999,999,999,24,314782486489,13,3125144927507,12,1359713038219,999,10,358971637352,16,8385996798212,15,1190154712782,14,2959817041564,999,999,9,45672237527844,999,12,6541084269739,17,6078455647964,13,004623869112,999,12,7062473841022,12,9401063233781,14,1480833470123,999,999,13,8022603300165,999,,
11,P18,11,7432269641841,999,15,0498918213636,999,12,429409077477,15,4615224285811,15,0666538639294,14,2337543247172,8,1906498519564,12,3472944328548,12,698259578238,14,9689569632672,11,9873086090022,14,9382354337993,15,6682628238784,16,5550822756247,11,1770748348915,15,9310119483991,12,4998582844107,999,999,999,999,999,16,6045213993001,14,1479455132156,13,5895228744247,13,106391354359,13,9622571888695,999,15,2808909599105,999,13,172870513189,999,999,9,09811095232293,999,11,9939521009879,9,66292232665824,16,7223503615017,14,3688208824529,9,98991202095522,13,7968102951587,999,999,15,5816693762,15,9704457588057,999,,
12,P18,14,5826041989713,999,999,999,14,6150617298259,22,4806918747975,999,15,6940210342088,8,51735150780302,13,9006967704278,16,1549015764439,14,0872640968013,11,2040178343058,16,3957584758375,999,999,16,7844259247227,14,2910346240433,12,3960352444087,16,7867872698845,999,999,999,999,15,7301804037703,12,9593432109167,11,2816970268365,12,9322736888113,999,10,8481351779537,15,1061571232627,999,13,5534708208301,999,999,8,9120909832871,999,14,3796079255331,12,0595458072125,15,6229525856345,999,12,2156395549516,13,3247511929624,14,6224331846152,999,14,7121485188873,15,2139569423685,999,,
13,P5,999,999,13,0196231009557,15,9177958318077,999,8,88152179857326,999,13,4104714123834,12,5691789097748,17,4434102676443,17,4200005013819,999,14,7279977288375,999,999,999,999,16,0706996240271,11,7298842418388,999,999,999,999,999,999,14,5929612374251,14,6651038290244,999,999,12,3404313691744,999,15,8152582324454,17,2843645501046,999,13,5269803867111,10,9690239020329,999,16,6550126212643,12,0116315523001,14,7881528357947,999,15,3568449766695,12,4260708253365,999,18,9124294223902,15,5820603571683,14,556625849794,999,,
14,P5,14,0820206473785,999,10,6549504563535,13,612656089152,999,9,77455741298089,999,14,0019988554091,10,9864745678517,17,8231062209244,17,4660707274615,999,999,999,999,999,999,17,5203723003688,14,2357790104819,999,999,999,999,999,999,999,14,389087567289,16,4741188096223,999,13,9579870342037,999,999,19,4346656508152,999,13,2809635118645,11,2769646530625,999,16,3127270723695,14,3525194160386,14,5391267635186,999,13,0277204824839,13,266371364406,999,19,7724102759069,999,13,8033414267078,999,,
15,P5noRT,15,9264240098356,999,11,8982213342077,14,3821649660902,999,8,73759166180513,999,13,9477670017536,10,3317641875236,15,631754029553,16,3332229061535,999,13,2084679445919,19,9852611526433,999,999,999,19,4870890810176,11,8781393108023,999,999,999,999,999,999,13,4186985686547,25,4692078844292,15,2330106169759,999,15,3202040658745,999,999,15,3308651168969,999,13,514087850714,9,60728200223564,999,13,0796333742968,16,3551939237415,13,9131190855287,999,14,4921870960448,12,0812129404106,15,9552989435094,19,5508662388083,999,13,7460759304451,999,,
16,P18 noRT,11,9758519456914,999,999,999,15,6926104862025,999,999,12,6645280438547,8,95977819799341,16,0646549426667,14,3774985226527,13,7133307624771,12,5052724867372,16,9637852034085,17,8768308181629,15,336034224409,15,8023396371866,15,6820433739409,13,1808783241841,16,177331525769,999,999,999,999,999,13,53770403807,12,6174405533262,12,0718254146048,999,10,3586339452073,16,6701113951726,11,1829648079044,13,3108633354038,999,999,9,19346871193153,999,999,12,9418717311079,13,3611522253576,999,11,2716693622834,15,5795244219152,13,1478062776683,999,15,7603681169989,13,5315454088651,999,,
17,P18,999,999,999,999,999,25,5953277179377,999,15,4687964926248,9,22926004855262,13,7014415717681,15,0064162906938,13,2605385311366,13,0088928659652,16,1068890826948,17,2926426646656,15,4735053496506,14,4625645829013,17,9550232124379,14,241247855059,16,7661632104162,999,16,1919229720696,999,999,999,999,13,146961926159,14,0467238806594,14,9392097060984,10,791508751109,15,8256519201637,12,2036090402535,14,1120899547699,999,999,10,6430261144,999,13,4240087349741,11,795119079208,13,8973953413759,18,3833810168503,11,9575400432933,12,8220402881726,999,999,14,3543358778836,13,4241306313985,17,0738744495061,,
18,P18,15,7880584328302,999,999,999,16,9691595487403,15,7021737475196,999,13,2362419782777,9,55913735409925,14,4393684880745,17,336590428086,999,13,0390265654776,999,17,3025575445418,999,999,15,9653322434443,12,8189553018497,999,999,999,999,999,999,14,7220745315235,12,4217988083988,12,8045378070519,999,11,6777469933594,16,1242843487756,999,13,5646013462962,999,999,9,62676325708879,999,999,16,2964743662204,16,96303837657,999,12,649477010329,11,3226930727206,999,999,999,12,6233057557749,999,,
19,P5,999,999,9,27807330357232,999,999,10,359779792345,999,13,10013273277,11,762568043829,14,8863005340081,17,2730378298441,999,17,744473951144,999,999,999,999,15,1960134825194,11,71336264897,16,3227365576644,999,999,999,999,999,999,999,999,999,13,8936074717049,999,999,999,999,13,681513813675,12,4565949721621,999,999,999,12,6981808336623,999,14,9921019005341,14,8048939547133,999,20,3403787598123,15,6397242898557,13,7521734662238,999,,
20,P5,12,7716879688018,999,12,7938601923133,13,1856890495915,999,8,29334952994347,999,14,6866938918532,9,07511859494862,16,5386033313354,14,5767116907965,999,11,52177013743,999,999,999,999,15,5528145423826,12,3095016650273,15,4784722454281,999,999,999,999,999,12,8827123380617,11,3022603532397,13,1345829022084,999,11,5917880670616,17,6594498586049,999,14,2879934015057,999,11,1684596861245,8,75115189847548,999,12,4463392620438,16,2961894205092,14,2150437694664,999,12,1670702227393,11,2661625400211,999,999,999,12,5403099881849,999,,
