Chip Run Info,D:\PCR DATA\Goran\01072014 HSC ss5 MS\ChipRun.bml,1361898495,96.96 (136x),GE 96x96 Standard v2,ROX,FAM-MGB,7/1/2014 5:04:21 PM,01:31:10,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.6
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Detectors)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Defined
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Fold Change,Quality,Call,Comments
S84-A33,noRT,Reference,1,,GFI1,Test,ref,999,0,Fail,0.00459278880011109,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A34,noRT,Reference,1,,IGF2BPI,Test,ref,999,0,Fail,0.00917964402223912,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A35,noRT,Reference,1,,LYL1,Test,ref,999,0,Fail,0.00543433262818719,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A36,noRT,Reference,1,,RUNX1,Test,ref,999,0,Fail,0.00906314899108036,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A37,noRT,Reference,1,,CCNA1,Test,ref,999,0,Fail,0.0233889804490084,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A38,noRT,Reference,1,,CD100,Test,ref,999,0,Fail,0.00775506250391744,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A39,noRT,Reference,1,,CD84,Test,ref,999,0,Fail,0.0195040049282306,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A40,noRT,Reference,1,,CD38,Test,ref,999,0,Fail,0.015635308545831,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A41,noRT,Reference,1,,CD56,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A42,noRT,Reference,1,,CD98,Test,ref,999,0,Fail,0.00959679854555403,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A43,noRT,Reference,1,,CEACAM1,Test,ref,999,0,Fail,0.00517922557972216,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A44,noRT,Reference,1,,EPOR,Test,ref,999,0,Fail,0.00714922939070527,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A45,noRT,Reference,1,,Hes1,Test,ref,999,0,Fail,0.00476066601553474,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A46,noRT,Reference,1,,IK7F,Test,ref,999,0,Fail,0.00709356824211718,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A47,noRT,Reference,1,,mKi67,Test,ref,999,0,Fail,0.00665043797732045,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A48,noRT,Reference,1,,SELL,Test,ref,999,0,Fail,0.00840508919325634,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A54,noRT,Reference,1,,CD99,Test,ref,999,0,Fail,0.00879726160737329,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A53,noRT,Reference,1,,CD61,Test,ref,999,0,Fail,0.0106381859274878,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A52,noRT,Reference,1,,CD4,Test,ref,999,0,Fail,0.00718298207592986,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A51,noRT,Reference,1,,CD22,Test,ref,999,0,Fail,0.00877939272834603,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A50,noRT,Reference,1,,CD11a,Test,ref,999,0,Fail,0.00812914085089729,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A49,noRT,Reference,1,,CCNB1,Test,ref,999,0,Fail,0.0138130606667782,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A60,noRT,Reference,1,,SELP,Test,ref,999,0,Fail,0.00733681638298117,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A59,noRT,Reference,1,,MPL,Test,ref,999,0,Fail,0.00889315713841857,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A58,noRT,Reference,1,,IL2RG,Test,ref,999,0,Fail,0.0102484366681444,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A57,noRT,Reference,1,,HEY2,Test,ref,999,0,Fail,0.00937299001922149,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A56,noRT,Reference,1,,ERG,Test,ref,999,0,Fail,0.00736185684040496,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A55,noRT,Reference,1,,CEACAM3,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A66,noRT,Reference,1,,CDKN1A,Test,ref,999,0,Fail,0.0038182707736666,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A65,noRT,Reference,1,,CD63,Test,ref,999,0,Fail,0.0103470318132771,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A64,noRT,Reference,1,,CD48,Test,ref,999,0,Fail,0.011165875493998,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A63,noRT,Reference,1,,CD243,Test,ref,999,0,Fail,0.0143776782048589,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A62,noRT,Reference,1,,CD13,Test,ref,999,0,Fail,0.0106337688185634,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A61,noRT,Reference,1,,CCNC,Test,ref,999,0,Fail,0.0131207306365164,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A72,noRT,Reference,1,,TAL1,Test,ref,999,0,Fail,0.0105145637107563,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A71,noRT,Reference,1,,MPO,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A70,noRT,Reference,1,,IL7R,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A69,noRT,Reference,1,,HMGA2,Test,ref,999,0,Fail,0.011342936222251,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A68,noRT,Reference,1,,FLI1,Test,ref,999,0,Fail,0.00577758540573219,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A67,noRT,Reference,1,,CEACAM5,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A78,noRT,Reference,1,,CDKN1B,Test,ref,999,0,Fail,0.00779516202939579,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A77,noRT,Reference,1,,CD71,Test,ref,999,0,Fail,0.014061906373137,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A76,noRT,Reference,1,,CD49e,Test,ref,999,0,Fail,0.011205159218408,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A75,noRT,Reference,1,,CD244,Test,ref,999,0,Fail,0.0133227052026465,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A74,noRT,Reference,1,,CD15,Test,ref,999,0,Fail,0.0103571401368519,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A73,noRT,Reference,1,,CCND1,Test,ref,999,0,Fail,0.0081677341556075,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A84,noRT,Reference,1,,THY1,Test,ref,19.0088502217647,0.858661078627047,Pass,0.0065164486298048,-1.17625113014191,0.849040353852153,Pass,1.4373971153506,0.858661078627047,Pass,-1.17625113014191,2.25988777390784,0.849040353852153,Pass,
S84-A83,noRT,Reference,1,,Notch1,Test,ref,999,0,Fail,0.00529467926150921,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A82,noRT,Reference,1,,ITGB7,Test,ref,999,0,Fail,0.0092058463308281,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A81,noRT,Reference,1,,HOXA5,Test,ref,999,0,Fail,0.00604053731352747,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A80,noRT,Reference,1,,FLT3,Test,ref,999,0,Fail,0.0100339840136811,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A79,noRT,Reference,1,,CEACAM6,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A90,noRT,Reference,1,,Cdkn1c,Test,ref,999,0,Fail,0.00488845349121929,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A89,noRT,Reference,1,,CD86,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A88,noRT,Reference,1,,CD49f,Test,ref,999,0,Fail,0.0159430412820121,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A87,noRT,Reference,1,,CD33,Test,ref,999,0,Fail,0.0120626810533097,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A86,noRT,Reference,1,,CD151,Test,ref,999,0,Fail,0.0145099881811032,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A85,noRT,Reference,1,,CCNE1,Test,ref,999,0,Fail,0.0102196121843372,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A96,noRT,Reference,1,,VWF,Test,ref,999,0,Fail,0.00382006558225211,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A95,noRT,Reference,1,,Pu1,Test,ref,999,0,Fail,0.00638928502851184,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A94,noRT,Reference,1,,KIT,Test,ref,999,0,Fail,0.00699479270713429,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A93,noRT,Reference,1,,HOXB4,Test,ref,999,0,Fail,0.00524913885620777,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A92,noRT,Reference,1,,ref,Reference,,999,0,Fail,0.00547711740858932,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S84-A91,noRT,Reference,1,,CEBPalfa,Test,ref,999,0,Fail,0.00479386673841566,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A01,SS18,Unknown,1, ,ACE,Test,ref,999,0,Fail,0.00417469413939947,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A02,SS18,Unknown,1, ,Ccnf,Test,ref,999,0,Fail,0.00762680449631716,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A03,SS18,Unknown,1, ,Cd162,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A04,SS18,Unknown,1, ,CD34,Test,ref,14.5303401621265,0.899564856168167,Pass,0.0110004302618243,999,0,Fail,2.05484102827346,0.899564856168167,Pass,999,-1,0,Fail,
S18-A05,SS18,Unknown,1, ,CD53,Test,ref,17.6700554148311,0.913029019322136,Pass,0.00961195006642353,999,0,Fail,5.194556280978,0.913029019322136,Pass,999,-1,0,Fail,
S18-A06,SS18,Unknown,1, ,CD9,Test,ref,999,0,Fail,0.0131871627125278,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A07,SS18,Unknown,1, ,CDKN2A,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A08,SS18,Unknown,1, ,CSF3R,Test,ref,14.8743708432451,1,Pass,0.00739483819285099,999,0,Fail,2.39887170939202,0.966509274657968,Pass,999,-1,0,Fail,
S18-A09,SS18,Unknown,1, ,GATA1,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A10,SS18,Unknown,1, ,HPRT,Test,ref,999,0,Fail,0.00798256174323489,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A11,SS18,Unknown,1, ,Lin28B,Test,ref,999,0,Fail,0.00623241913871582,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A12,SS18,Unknown,1, ,RAG2,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A13,SS18,Unknown,1, ,AHR,Test,ref,15.4934622281142,0.954534963146197,Pass,0.0106856699938162,999,0,Fail,3.01796309426119,0.954534963146197,Pass,999,-1,0,Fail,
S18-A14,SS18,Unknown,1, ,CCNG1,Test,ref,13.9600220967767,1,Pass,0.00646031329530732,999,0,Fail,1.48452296292363,0.966509274657968,Pass,999,-1,0,Fail,
S18-A15,SS18,Unknown,1, ,CD165,Test,ref,999,0,Fail,0.00740489284862091,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A16,SS18,Unknown,1, ,CD35,Test,ref,999,0,Fail,0.00586561205902168,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A17,SS18,Unknown,1, ,CD54,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A18,SS18,Unknown,1, ,CD93,Test,ref,999,0,Fail,0.00678282059893852,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A19,SS18,Unknown,1, ,CDKN2B,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A20,SS18,Unknown,1, ,EBF1,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A21,SS18,Unknown,1, ,GATA2,Test,ref,15.6177604163743,0.91953090780089,Pass,0.00532992442214292,999,0,Fail,3.14226128252127,0.91953090780089,Pass,999,-1,0,Fail,
S18-A22,SS18,Unknown,1, ,ID2,Test,ref,999,0,Fail,0.0122855592702119,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A23,SS18,Unknown,1, ,LMO2,Test,ref,13.2418734026912,0.877229622362837,Pass,0.00758847865136622,999,0,Fail,0.766374268838126,0.877229622362837,Pass,999,-1,0,Fail,
S18-A24,SS18,Unknown,1, ,ref,Reference,,12.2476902403842,1,Pass,0.00547711740858932,999,0,Fail,-0.227808893468875,0.966509274657968,Pass,999,-1,0,Fail,
S18-A25,SS18,Unknown,1, ,BMI1,Test,ref,15.5301920231277,0.752642679602734,Pass,0.0128993322677345,999,0,Fail,3.05469288927469,0.752642679602734,Pass,999,-1,0,Fail,
S18-A26,SS18,Unknown,1, ,CCR,Test,ref,999,0,Fail,0.00818805193545112,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A27,SS18,Unknown,1, ,CD18,Test,ref,999,0,Fail,0.00925003762727756,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A28,SS18,Unknown,1, ,CD36,Test,ref,999,0,Fail,0.0142798031525467,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A29,SS18,Unknown,1, ,CD55,Test,ref,15.0844969326883,0.772072090332865,Pass,0.00668291726756213,999,0,Fail,2.60899779883523,0.772072090332865,Pass,999,-1,0,Fail,
S18-A30,SS18,Unknown,1, ,CD97,Test,ref,999,0,Fail,0.00847193364645452,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A31,SS18,Unknown,1, ,CDKN2C,Test,ref,999,0,Fail,0.00740745955247231,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A32,SS18,Unknown,1, ,ENG,Test,ref,15.9269428033526,1,Pass,0.00900706227692326,999,0,Fail,3.45144366949957,0.966509274657968,Pass,999,-1,0,Fail,
S18-A33,SS18,Unknown,1, ,GFI1,Test,ref,999,0,Fail,0.00459278880011109,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A34,SS18,Unknown,1, ,IGF2BPI,Test,ref,16.3476049776771,0.900334302115341,Pass,0.00917964402223912,999,0,Fail,3.87210584382402,0.900334302115341,Pass,999,-1,0,Fail,
S18-A35,SS18,Unknown,1, ,LYL1,Test,ref,16.5621112203062,0.878815795451766,Pass,0.00543433262818719,999,0,Fail,4.08661208645317,0.878815795451766,Pass,999,-1,0,Fail,
S18-A36,SS18,Unknown,1, ,RUNX1,Test,ref,14.2484372458199,0.854281220398913,Pass,0.00906314899108036,999,0,Fail,1.7729381119668,0.854281220398913,Pass,999,-1,0,Fail,
S18-A37,SS18,Unknown,1, ,CCNA1,Test,ref,999,0,Fail,0.0233889804490084,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A38,SS18,Unknown,1, ,CD100,Test,ref,999,0,Fail,0.00775506250391744,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A39,SS18,Unknown,1, ,CD84,Test,ref,14.9912123352298,0.97901096315398,Pass,0.0195040049282306,999,0,Fail,2.51571320137672,0.966509274657968,Pass,999,-1,0,Fail,
S18-A40,SS18,Unknown,1, ,CD38,Test,ref,999,0,Fail,0.015635308545831,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A41,SS18,Unknown,1, ,CD56,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A42,SS18,Unknown,1, ,CD98,Test,ref,17.1441036303346,0.831178726693125,Pass,0.00959679854555403,999,0,Fail,4.66860449648154,0.831178726693125,Pass,999,-1,0,Fail,
S18-A43,SS18,Unknown,1, ,CEACAM1,Test,ref,999,0,Fail,0.00517922557972216,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A44,SS18,Unknown,1, ,EPOR,Test,ref,999,0,Fail,0.00714922939070527,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A45,SS18,Unknown,1, ,Hes1,Test,ref,999,0,Fail,0.00476066601553474,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A46,SS18,Unknown,1, ,IK7F,Test,ref,17.765484388353,1,Pass,0.00709356824211718,999,0,Fail,5.28998525449999,0.966509274657968,Pass,999,-1,0,Fail,
S18-A47,SS18,Unknown,1, ,mKi67,Test,ref,999,0,Fail,0.00665043797732045,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A48,SS18,Unknown,1, ,SELL,Test,ref,17.0976907897848,0.8524687558957,Pass,0.00840508919325634,999,0,Fail,4.62219165593173,0.8524687558957,Pass,999,-1,0,Fail,
S18-A54,SS18,Unknown,1, ,CD99,Test,ref,15.7576311047726,1,Pass,0.00879726160737329,999,0,Fail,3.28213197091956,0.966509274657968,Pass,999,-1,0,Fail,
S18-A53,SS18,Unknown,1, ,CD61,Test,ref,999,0,Fail,0.0106381859274878,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A52,SS18,Unknown,1, ,CD4,Test,ref,15.7725776806546,0.994975271286572,Pass,0.00718298207592986,999,0,Fail,3.29707854680155,0.966509274657968,Pass,999,-1,0,Fail,
S18-A51,SS18,Unknown,1, ,CD22,Test,ref,999,0,Fail,0.00877939272834603,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A50,SS18,Unknown,1, ,CD11a,Test,ref,999,0,Fail,0.00812914085089729,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A49,SS18,Unknown,1, ,CCNB1,Test,ref,18.9762923388029,1,Pass,0.0138130606667782,999,0,Fail,6.50079320494983,0.966509274657968,Pass,999,-1,0,Fail,
S18-A60,SS18,Unknown,1, ,SELP,Test,ref,999,0,Fail,0.00733681638298117,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A59,SS18,Unknown,1, ,MPL,Test,ref,16.667194938308,0.956284862640116,Pass,0.00889315713841857,999,0,Fail,4.19169580445491,0.956284862640116,Pass,999,-1,0,Fail,
S18-A58,SS18,Unknown,1, ,IL2RG,Test,ref,16.1852740814592,0.794971692328079,Pass,0.0102484366681444,999,0,Fail,3.70977494760614,0.794971692328079,Pass,999,-1,0,Fail,
S18-A57,SS18,Unknown,1, ,HEY2,Test,ref,999,0,Fail,0.00937299001922149,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A56,SS18,Unknown,1, ,ERG,Test,ref,13.2536086685095,0.829840041637175,Fail,0.00736185684040496,999,0,Fail,0.77810953465645,0.829840041637175,Fail,999,-1,0,Fail,
S18-A55,SS18,Unknown,1, ,CEACAM3,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A66,SS18,Unknown,1, ,CDKN1A,Test,ref,999,0,Fail,0.0038182707736666,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A65,SS18,Unknown,1, ,CD63,Test,ref,13.599917263418,0.865444425498517,Pass,0.0103470318132771,999,0,Fail,1.12441812956494,0.865444425498517,Pass,999,-1,0,Fail,
S18-A64,SS18,Unknown,1, ,CD48,Test,ref,15.2449016449725,0.885859899426813,Pass,0.011165875493998,999,0,Fail,2.76940251111949,0.885859899426813,Pass,999,-1,0,Fail,
S18-A63,SS18,Unknown,1, ,CD243,Test,ref,14.5124960784391,0.918709588111189,Pass,0.0143776782048589,999,0,Fail,2.0369969445861,0.918709588111189,Pass,999,-1,0,Fail,
S18-A62,SS18,Unknown,1, ,CD13,Test,ref,999,0,Fail,0.0106337688185634,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A61,SS18,Unknown,1, ,CCNC,Test,ref,999,0,Fail,0.0131207306365164,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A72,SS18,Unknown,1, ,TAL1,Test,ref,16.6951468205605,0.98867430665228,Pass,0.0105145637107563,999,0,Fail,4.2196476867074,0.966509274657968,Pass,999,-1,0,Fail,
S18-A71,SS18,Unknown,1, ,MPO,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A70,SS18,Unknown,1, ,IL7R,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A69,SS18,Unknown,1, ,HMGA2,Test,ref,999,0,Fail,0.011342936222251,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A68,SS18,Unknown,1, ,FLI1,Test,ref,15.4233979849774,0.7339220897231,Pass,0.00577758540573219,999,0,Fail,2.94789885112438,0.7339220897231,Pass,999,-1,0,Fail,
S18-A67,SS18,Unknown,1, ,CEACAM5,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A78,SS18,Unknown,1, ,CDKN1B,Test,ref,15.8015515112822,0.898174715991603,Pass,0.00779516202939579,999,0,Fail,3.32605237742912,0.898174715991603,Pass,999,-1,0,Fail,
S18-A77,SS18,Unknown,1, ,CD71,Test,ref,15.2145906247519,0.890067217201667,Pass,0.014061906373137,999,0,Fail,2.73909149089885,0.890067217201667,Pass,999,-1,0,Fail,
S18-A76,SS18,Unknown,1, ,CD49e,Test,ref,15.8963218593851,0.994496749881982,Pass,0.011205159218408,999,0,Fail,3.42082272553203,0.966509274657968,Pass,999,-1,0,Fail,
S18-A75,SS18,Unknown,1, ,CD244,Test,ref,16.0984614240777,0.824414735224458,Pass,0.0133227052026465,999,0,Fail,3.62296229022462,0.824414735224458,Pass,999,-1,0,Fail,
S18-A74,SS18,Unknown,1, ,CD15,Test,ref,999,0,Fail,0.0103571401368519,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A73,SS18,Unknown,1, ,CCND1,Test,ref,999,0,Fail,0.0081677341556075,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A84,SS18,Unknown,1, ,THY1,Test,ref,999,0,Fail,0.0065164486298048,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A83,SS18,Unknown,1, ,Notch1,Test,ref,15.4120526303198,0.969842506485186,Pass,0.00529467926150921,999,0,Fail,2.93655349646676,0.966509274657968,Pass,999,-1,0,Fail,
S18-A82,SS18,Unknown,1, ,ITGB7,Test,ref,999,0,Fail,0.0092058463308281,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A81,SS18,Unknown,1, ,HOXA5,Test,ref,19.1745614834844,0.910015828738183,Pass,0.00604053731352747,999,0,Fail,6.69906234963134,0.910015828738183,Pass,999,-1,0,Fail,
S18-A80,SS18,Unknown,1, ,FLT3,Test,ref,16.9576990716976,1,Pass,0.0100339840136811,999,0,Fail,4.48219993784453,0.966509274657968,Pass,999,-1,0,Fail,
S18-A79,SS18,Unknown,1, ,CEACAM6,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A90,SS18,Unknown,1, ,Cdkn1c,Test,ref,999,0,Fail,0.00488845349121929,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A89,SS18,Unknown,1, ,CD86,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A88,SS18,Unknown,1, ,CD49f,Test,ref,14.7860311382943,1,Pass,0.0159430412820121,999,0,Fail,2.3105320044413,0.966509274657968,Pass,999,-1,0,Fail,
S18-A87,SS18,Unknown,1, ,CD33,Test,ref,999,0,Fail,0.0120626810533097,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A86,SS18,Unknown,1, ,CD151,Test,ref,14.6757085078518,0.991465254947473,Pass,0.0145099881811032,999,0,Fail,2.20020937399874,0.966509274657968,Pass,999,-1,0,Fail,
S18-A85,SS18,Unknown,1, ,CCNE1,Test,ref,999,0,Fail,0.0102196121843372,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A96,SS18,Unknown,1, ,VWF,Test,ref,999,0,Fail,0.00382006558225211,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S18-A95,SS18,Unknown,1, ,Pu1,Test,ref,13.5329711896052,0.965582764975404,Pass,0.00638928502851184,999,0,Fail,1.05747205575216,0.965582764975404,Pass,999,-1,0,Fail,
S18-A94,SS18,Unknown,1, ,KIT,Test,ref,14.2944803951566,0.869455504727137,Pass,0.00699479270713429,999,0,Fail,1.81898126130359,0.869455504727137,Pass,999,-1,0,Fail,
S18-A93,SS18,Unknown,1, ,HOXB4,Test,ref,15.6772141161624,0.844404715705812,Pass,0.00524913885620777,999,0,Fail,3.20171498230934,0.844404715705812,Pass,999,-1,0,Fail,
S18-A92,SS18,Unknown,1, ,ref,Reference,,12.7033080273219,0.933018549315935,Pass,0.00547711740858932,999,0,Fail,0.227808893468877,0.933018549315935,Pass,999,-1,0,Fail,
S18-A91,SS18,Unknown,1, ,CEBPalfa,Test,ref,999,0,Fail,0.00479386673841566,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S83-A01,SS81,Unknown,1,,ACE,Test,ref,999,0,Fail,0.00417469413939947,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S83-A02,SS81,Unknown,1,,Ccnf,Test,ref,999,0,Fail,0.00762680449631716,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S83-A03,SS81,Unknown,1,,Cd162,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S83-A04,SS81,Unknown,1,,CD34,Test,ref,14.8478112716138,1,Pass,0.0110004302618243,999,0,Fail,1.86143047295324,0.944790637477526,Pass,999,-1,0,Fail,
S83-A05,SS81,Unknown,1,,CD53,Test,ref,16.6027502851261,0.877436012190231,Pass,0.00961195006642353,999,0,Fail,3.61636948646548,0.877436012190231,Pass,999,-1,0,Fail,
S83-A06,SS81,Unknown,1,,CD9,Test,ref,999,0,Fail,0.0131871627125278,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S83-A07,SS81,Unknown,1,,CDKN2A,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
