Chip Run Info,C:\Users\eva\Documents\PCR\Result\KJP\140506EES humsc y112\ChipRun.bml,1131292161,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,2014-05-06 17:25:48,00:30:20,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S48-A44,Ref Y2,Unknown,1,RUNX1,Test,11.0920633721029,1,Pass,0.0103622541840018,83.3942768785193,999,1,
S48-A45,Ref Y2,Unknown,1,ID2,Test,14.1227339636431,1,Pass,0.0103622541840018,80.1192993939801,999,1,
S48-A46,Ref Y2,Unknown,1,CST7,Test,12.8891301505003,1,Pass,0.0103622541840018,85.3429363883686,999,1,
S48-A47,Ref Y2,Unknown,1, IL13RA1,Test,19.411355077894,1,Pass,0.0103622541840018,82.7749434904819,999,1,
S48-A48,Ref Y2,Unknown,1,CD34,Test,11.6806462388244,1,Pass,0.0103622541840018,86.1689840965498,999,1,
S03-A01,Y112A3,Unknown,1,ERG,Test,13.8080406605594,1,Pass,0.0103622541840018,85.0427342994461,999,1,
S03-A02,Y112A3,Unknown,1,LDB1,Test,15.5018569356608,1,Pass,0.0103622541840018,83.1401582630122,999,1,
S03-A03,Y112A3,Unknown,1,TAL1,Test,17.1708409721805,1,Pass,0.0103622541840018,82.4251660318812,999,1,
S03-A04,Y112A3,Unknown,1,SIGLEC5,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A05,Y112A3,Unknown,1,KLF4,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A06,Y112A3,Unknown,1,HOXA4,Test,22.4767444620254,0,Fail,0.0103622541840018,999,76.8876781442924,0,
S03-A07,Y112A3,Unknown,1,CBFA2T3,Test,17.6760405196931,1,Pass,0.0103622541840018,81.1531578380157,999,1,
S03-A08,Y112A3,Unknown,1,LMO2,Test,13.0460699372806,1,Pass,0.0103622541840018,84.9786282159413,999,1,
S03-A09,Y112A3,Unknown,1,ETV6,Test,11.8639097397203,1,Pass,0.0103622541840018,81.2497217834307,999,1,
S03-A10,Y112A3,Unknown,1,FN3K,Test,19.1815398854023,1,Pass,0.0103622541840018,83.9843102260674,999,1,
S03-A11,Y112A3,Unknown,1,KLF11,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A12,Y112A3,Unknown,1,ITGA2B7,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A13,Y112A3,Unknown,1,FLI1,Test,15.1140687977332,1,Pass,0.0103622541840018,85.1846613198233,999,1,
S03-A14,Y112A3,Unknown,1,LYL1,Test,14.7961835738454,1,Pass,0.0103622541840018,84.3089898052772,999,1,
S03-A15,Y112A3,Unknown,1,CLNK,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A16,Y112A3,Unknown,1,PAX5,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A17,Y112A3,Unknown,1,CEACAM1-2,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A18,Y112A3,Unknown,1,ITGA2B4,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A19,Y112A3,Unknown,1,GATA1,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A20,Y112A3,Unknown,1,MEIS1,Test,17.6019286993582,1,Pass,0.0103622541840018,82.9479639032216,999,1,
S03-A21,Y112A3,Unknown,1,LCK,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A22,Y112A3,Unknown,1,CSF1R,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A23,Y112A3,Unknown,1,ANXA2,Test,17.8448274391502,1,Pass,0.0103622541840018,82.2785899292119,999,1,
S03-A24,Y112A3,Unknown,1,AREG,Test,12.8261959448599,1,Pass,0.0103622541840018,83.6049293327342,999,1,
S03-A25,Y112A3,Unknown,1,GATA2,Test,15.3415138881728,1,Pass,0.0103622541840018,86.0406116237489,999,1,
S03-A26,Y112A3,Unknown,1,MITF,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A27,Y112A3,Unknown,1,PLEK,Test,15.5600220939395,1,Pass,0.0103622541840018,82.7356291205802,999,1,
S03-A28,Y112A3,Unknown,1,PLOD3,Test,26.4944084869168,0,Fail,0.0103622541840018,999,999,0,
S03-A29,Y112A3,Unknown,1,JUN,Test,12.5753333319018,1,Pass,0.0103622541840018,86.9280212060621,999,1,
S03-A30,Y112A3,Unknown,1,FIGN,Test,23.232056713191,1,Pass,0.0103622541840018,85.8505660248372,999,1,
S03-A31,Y112A3,Unknown,1,GFI1,Test,999,0,Fail,0.0103622541840018,999,999,0,
