Chip Run Info,C:\Users\eva\Documents\PCR\Result\DB\Amol\Amol sc index sort (wt)\Index sort Plate-1 Amol\ChipRun.bml,1131292164,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,2014-04-01 13:23:28,00:31:24,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S03-A09,A9,Unknown,1,Gata1,Test,13.9088718424255,1,Pass,0.0120476876168541,81.3591420764788,999,1,
S03-A10,A9,Unknown,1,Id2,Test,15.9725516588322,0,Pass,0.0120476876168541,79.9413829588282,63.8451704352211,0.639753425606287,
S03-A11,A9,Unknown,1,Evi1a,Test,16.9756627081258,1,Pass,0.0120476876168541,77.256513902768,999,1,
S03-A12,A9,Unknown,1,Sfpi,Test,13.8236691402469,1,Pass,0.0120476876168541,82.0489316618199,999,1,
S03-A13,A9,Unknown,1,Cbx2,Test,13.7842165421954,1,Pass,0.0120476876168541,81.6255235650012,999,1,
S03-A14,A9,Unknown,1,Dntt,Test,999,0,Fail,0.0120476876168541,999,999,0,
S03-A15,A9,Unknown,1,Gata2,Test,13.2952720588484,1,Pass,0.0120476876168541,84.1514685961226,999,1,
S03-A16,A9,Unknown,1,ikaros,Test,14.4517409942227,0,Pass,0.0120476876168541,81.2329012102385,64.6208032375541,0.799551601776456,
S03-A17,A9,Unknown,1,Meis1,Test,11.766750069179,1,Pass,0.0120476876168541,78.2263446350107,999,1,
S03-A18,A9,Unknown,1,Slamf1,Test,14.5445552131987,1,Pass,0.0120476876168541,79.638799805712,63.4987670091007,0.914661241189114,
S03-A19,A9,Unknown,1,Cd34,Test,12.5630480646716,1,Pass,0.0120476876168541,79.8419304186525,999,1,
S03-A20,A9,Unknown,1,Ebf1,Test,16.5294706850378,0,Fail,0.0120476876168541,999,76.2046906124302,0,
S03-A21,A9,Unknown,1,Gfi1b,Test,14.0813204188717,1,Pass,0.0120476876168541,82.6209407072492,999,1,
S03-A22,A9,Unknown,1,Il18,Test,15.4256366514399,1,Pass,0.0120476876168541,82.1438305694824,999,1,
