EvaGreen Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,ERG,LDB1,TAL1,SIGLEC5,KLF4,HOXA4,CBFA2T3,LMO2,ETV6,FN3K,KLF11,ITGA2B7,FLI1,LYL1,CLNK,PAX5,CEACAM1-2,ITGA2B4,GATA1,MEIS1,LCK,CSF1R,ANXA2,AREG,GATA2,MITF,PLEK,PLOD3,JUN,FIGN,GFI1,NFE2,CSF2RB,CR1,HIST1H3A,Hsp-90,GFI1B,SPI1,IL7R,CD22,ABO,actin,HHEX,RUNX1,ID2,CST7, IL13RA1,CD34
10,Y112B4,14.02710249,14.06538096,14.21292162,999,15.83933416,14.86076987,15.58926268,13.28578202,12.8151856,999,999,999,14.53759684,15.22514765,25.16635947,999,999,16.52076828,999,16.20999474,999,999,999,16.40519529,15.44862933,999,14.70363671,15.26969982,15.62706878,16.84787895,999,12.82112365,15.80664713,17.27754969,13.28741748,13.51190237,15.04865181,13.93389952,999,999,999,10.06770249,15.54801478,12.88456127,16.21079833,15.38764635,999,13.05352868
11,Y112B5,13.85030836,13.73653471,15.72034386,999,14.13019505,21.6760096,15.90240252,12.56285469,12.64306058,999,999,15.40774685,13.76341158,15.18909441,999,999,999,20.28215848,999,13.7960335,999,999,16.83497861,999,15.72141985,999,13.36519644,999,11.19413565,19.582218,999,14.90960204,20.17581227,23.53846049,14.85493724,13.74093188,16.67155273,999,999,999,16.56817421,11.60211507,15.92469683,14.71249528,999,999,999,13.45867559
12,Y112B6,12.62969895,14.60999649,16.67508935,999,999,21.14935514,17.5865504,14.87152676,12.3196462,999,999,999,13.99371676,16.18549466,26.07152414,999,999,19.34496685,999,15.84861004,16.76798804,999,16.02335069,10.72928865,15.51791643,999,14.38512326,26.30790799,999,17.99477266,999,16.72806883,21.23100416,17.31593967,13.68551855,13.19349851,999,14.23656015,999,999,16.61162916,10.07644365,999,15.26355335,999,999,999,12.52597985
13,Y112C1,13.53845897,17.91448467,999,999,18.43538295,22.43356369,15.74411488,14.19675046,13.3280705,999,999,999,14.42584599,15.49169326,999,999,999,999,999,15.09101065,999,999,999,13.4334938,15.79743363,999,999,16.35677114,13.56677317,999,16.81509694,15.84941646,22.55632112,19.64628091,999,14.40934421,16.53546585,16.77519224,999,999,999,11.15381834,18.31565504,15.26620295,19.51357643,999,999,14.85709076
14,Y112C2,13.3495677,13.88053549,16.01448753,24.02988115,999,16.35055029,15.94982962,13.12804532,14.18705622,999,999,999,13.75301448,16.12176406,999,999,999,16.37160366,999,16.91418802,999,999,17.22885075,13.66274123,15.04925997,999,21.23817036,25.67486258,15.67003139,17.68259479,18.17626226,12.27673065,20.81740589,20.96424738,15.14793563,13.44670308,14.88338767,14.53005522,999,999,999,10.2555639,13.99500685,15.45975262,14.65419914,999,16.07403177,13.61546071
15,Y112C3,13.92537961,16.69220023,15.30092655,999,999,22.67035259,15.36895747,12.48569575,11.92745429,999,999,999,13.52454275,12.78436446,24.94308887,999,999,999,999,14.40029645,999,999,16.2981945,11.39718458,14.18722358,999,18.96401408,999,16.44775402,999,999,13.10713305,16.56084771,19.63211596,16.19437201,13.13432172,16.60664834,15.84124092,999,999,999,10.15292367,999,14.5360136,999,999,999,13.87486622
16,Y112C4,12.86272741,15.64544544,999,999,15.81510996,15.34148164,999,13.49773814,13.2030909,16.3458009,17.25018385,999,13.21949529,14.97548845,25.15046872,999,15.75084776,20.23565964,999,14.26831597,999,999,16.48402589,13.49280873,14.38017763,999,15.12048433,999,12.14422005,999,999,14.77810896,15.19680139,17.0041523,14.57330712,14.16807418,999,14.687318,999,999,999,11.16994734,14.14694552,13.94483171,20.80176667,26.22436204,999,14.67593394
17,Y112C5,12.27010814,15.21869092,16.34099964,999,17.11004167,16.74291142,16.05802358,14.60136567,14.18187244,999,15.27635941,999,15.91993363,15.69158491,999,999,999,999,999,14.26738352,23.42155751,999,999,13.7845103,14.95616815,999,20.07665379,999,11.46335343,999,999,14.21668218,16.55395869,19.54933859,13.27229355,13.677009,16.54289787,999,999,999,999,11.32303027,16.45815521,13.87100735,999,21.66573583,999,14.24403685
18,Y112C6,13.84074023,15.96272813,15.5126705,999,16.35912149,16.53162413,999,15.21637335,15.22038984,999,16.07236057,999,14.86373588,999,999,999,999,999,999,999,999,999,13.47478405,999,999,999,24.74307423,16.69053893,8.563163878,22.39046673,999,999,16.47894343,17.74335251,999,13.48805596,24.38639875,999,999,999,999,10.81714068,14.66332529,999,19.52476054,999,15.78124701,999
19,Y112D1,13.25469162,15.53855711,15.23624589,999,16.60716067,22.72937809,16.15657266,13.71890566,12.10784666,999,14.57045414,16.12360192,14.1700415,16.05274257,23.84223354,999,999,999,999,15.87016575,999,999,999,13.95262768,14.97233307,999,19.5343824,999,15.22018779,17.00648716,999,14.27528875,20.79759602,17.39436835,13.81608955,13.04483911,999,999,999,999,16.58010866,10.88043195,999,999,999,999,999,13.16618634
20,Y112D2,13.05077485,13.11984391,999,999,23.40492336,16.86765661,15.32947235,12.89243043,12.48105117,15.1225227,999,999,17.53386279,15.90090563,18.73213759,999,999,19.92095368,999,16.54945581,19.27686593,999,18.86561687,999,15.01703462,999,14.4579176,999,16.04214012,999,16.27278179,13.56383224,18.27555745,15.36871879,16.77444422,13.3540825,999,14.87262168,999,15.53790933,999,11.11666321,14.6635194,15.52812598,18.83496954,999,999,13.37037383
21,Y112D3,12.86914694,13.65021008,15.93231167,999,15.25282265,22.60702194,15.21754911,13.50333513,12.35783433,999,17.74401815,999,14.61064095,14.4253766,999,999,17.40147078,999,999,14.47203544,999,25.65632931,16.51126087,12.32229284,999,999,15.59167224,999,14.29762687,17.3349693,15.893823,13.52168675,16.11134994,999,12.82863027,12.45924555,999,999,999,15.6536286,14.70022693,9.799934428,14.44111139,14.27585264,16.14435813,999,999,12.43472602
