Experiment Name,141120BE56d10sort
Specimen Name,Specimen_001
Tube Name,INX_sampleAWE_006
Record Date,"Nov 20, 2014 7:59:42 PM"
$OP,CarolineGuibentif 
GUID,b80206b2-8d56-466e-9460-b3b1a7ed5660 
Date Analyzed,12/09/2014 18:09

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,Carolina96wells141120
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P4 #Events,P4 %Parent,P4 FSC-A Min,P4 FSC-A Max,P4 FSC-A Geo Mean,P4 FSC-A Mean,P4 FSC-A Median,P4 FSC-A SD,P4 FSC-A rSD,P4 FSC-A %CV,P4 FSC-A %rCV,P4 FSC-A Mode,P4 FSC-W Min,P4 FSC-W Max,P4 FSC-W Geo Mean,P4 FSC-W Mean,P4 FSC-W Median,P4 FSC-W SD,P4 FSC-W rSD,P4 FSC-W %CV,P4 FSC-W %rCV,P4 FSC-W Mode,P4 FSC-H Min,P4 FSC-H Max,P4 FSC-H Geo Mean,P4 FSC-H Mean,P4 FSC-H Median,P4 FSC-H SD,P4 FSC-H rSD,P4 FSC-H %CV,P4 FSC-H %rCV,P4 FSC-H Mode,P4 SSC-A Min,P4 SSC-A Max,P4 SSC-A Geo Mean,P4 SSC-A Mean,P4 SSC-A Median,P4 SSC-A SD,P4 SSC-A rSD,P4 SSC-A %CV,P4 SSC-A %rCV,P4 SSC-A Mode,P4 SSC-W Min,P4 SSC-W Max,P4 SSC-W Geo Mean,P4 SSC-W Mean,P4 SSC-W Median,P4 SSC-W SD,P4 SSC-W rSD,P4 SSC-W %CV,P4 SSC-W %rCV,P4 SSC-W Mode,P4 SSC-H Min,P4 SSC-H Max,P4 SSC-H Geo Mean,P4 SSC-H Mean,P4 SSC-H Median,P4 SSC-H SD,P4 SSC-H rSD,P4 SSC-H %CV,P4 SSC-H %rCV,P4 SSC-H Mode,P4 GFP FITC-A Min,P4 GFP FITC-A Max,P4 GFP FITC-A Geo Mean,P4 GFP FITC-A Mean,P4 GFP FITC-A Median,P4 GFP FITC-A SD,P4 GFP FITC-A rSD,P4 GFP FITC-A %CV,P4 GFP FITC-A %rCV,P4 GFP FITC-A Mode,P4 CD73 PE-A Min,P4 CD73 PE-A Max,P4 CD73 PE-A Geo Mean,P4 CD73 PE-A Mean,P4 CD73 PE-A Median,P4 CD73 PE-A SD,P4 CD73 PE-A rSD,P4 CD73 PE-A %CV,P4 CD73 PE-A %rCV,P4 CD73 PE-A Mode,P4 7AAD PE-Cy5-A Min,P4 7AAD PE-Cy5-A Max,P4 7AAD PE-Cy5-A Geo Mean,P4 7AAD PE-Cy5-A Mean,P4 7AAD PE-Cy5-A Median,P4 7AAD PE-Cy5-A SD,P4 7AAD PE-Cy5-A rSD,P4 7AAD PE-Cy5-A %CV,P4 7AAD PE-Cy5-A %rCV,P4 7AAD PE-Cy5-A Mode,P4 CD49f PE-Cy7-A Min,P4 CD49f PE-Cy7-A Max,P4 CD49f PE-Cy7-A Geo Mean,P4 CD49f PE-Cy7-A Mean,P4 CD49f PE-Cy7-A Median,P4 CD49f PE-Cy7-A SD,P4 CD49f PE-Cy7-A rSD,P4 CD49f PE-Cy7-A %CV,P4 CD49f PE-Cy7-A %rCV,P4 CD49f PE-Cy7-A Mode,P4 CD34 APC-A Min,P4 CD34 APC-A Max,P4 CD34 APC-A Geo Mean,P4 CD34 APC-A Mean,P4 CD34 APC-A Median,P4 CD34 APC-A SD,P4 CD34 APC-A rSD,P4 CD34 APC-A %CV,P4 CD34 APC-A %rCV,P4 CD34 APC-A Mode,P4 CD45 Alexa Fluor 700-A Min,P4 CD45 Alexa Fluor 700-A Max,P4 CD45 Alexa Fluor 700-A Geo Mean,P4 CD45 Alexa Fluor 700-A Mean,P4 CD45 Alexa Fluor 700-A Median,P4 CD45 Alexa Fluor 700-A SD,P4 CD45 Alexa Fluor 700-A rSD,P4 CD45 Alexa Fluor 700-A %CV,P4 CD45 Alexa Fluor 700-A %rCV,P4 CD45 Alexa Fluor 700-A Mode,P4 CD43 APC-Cy7-A Min,P4 CD43 APC-Cy7-A Max,P4 CD43 APC-Cy7-A Geo Mean,P4 CD43 APC-Cy7-A Mean,P4 CD43 APC-Cy7-A Median,P4 CD43 APC-Cy7-A SD,P4 CD43 APC-Cy7-A rSD,P4 CD43 APC-Cy7-A %CV,P4 CD43 APC-Cy7-A %rCV,P4 CD43 APC-Cy7-A Mode,P4 CXCR4 Pacific Blue-A Min,P4 CXCR4 Pacific Blue-A Max,P4 CXCR4 Pacific Blue-A Geo Mean,P4 CXCR4 Pacific Blue-A Mean,P4 CXCR4 Pacific Blue-A Median,P4 CXCR4 Pacific Blue-A SD,P4 CXCR4 Pacific Blue-A rSD,P4 CXCR4 Pacific Blue-A %CV,P4 CXCR4 Pacific Blue-A %rCV,P4 CXCR4 Pacific Blue-A Mode,P4 CD90 Qdot 605-A Min,P4 CD90 Qdot 605-A Max,P4 CD90 Qdot 605-A Geo Mean,P4 CD90 Qdot 605-A Mean,P4 CD90 Qdot 605-A Median,P4 CD90 Qdot 605-A SD,P4 CD90 Qdot 605-A rSD,P4 CD90 Qdot 605-A %CV,P4 CD90 Qdot 605-A %rCV,P4 CD90 Qdot 605-A Mode,P4 Time Min,P4 Time Max,P4 Time Geo Mean,P4 Time Mean,P4 Time Median,P4 Time SD,P4 Time rSD,P4 Time %CV,P4 Time %rCV,P4 Time Mode
E12,1,100.0,"83,213","83,213","83,213","83,213","83,213",,0,,0.0,"83,200","106,615","106,615","106,615","106,615","106,615",,0,,0.0,"106,496","51,151","51,151","51,151","51,151","51,151",,0,,0.0,"50,944","24,671","24,671","24,671","24,671","24,671",,0,,0.0,"24,576","83,368","83,368","83,368","83,368","83,368",,0,,0.0,"83,200","19,394","19,394","19,394","19,394","19,394",,0,,0.0,"19,200",648,648,648,648,648,,0,,0.0,642,139,139,139,139,139,,0,,0.0,138,-243,-243,,-243,-243,,0,,0.0,1,67,67,67,67,67,,0,,0.0,66,"5,131","5,131","5,131","5,131","5,131",,0,,0.0,"5,102",-269,-269,,-269,-269,,0,,0.0,1,"7,520","7,520","7,520","7,520","7,520",,0,,0.0,"7,446",26,26,26,26,26,,0,,0.0,26,835,835,835,835,835,,0,,0.0,829,"4,504","4,504","4,504","4,504","4,504",,0,,0.0,"4,352"
F2,1,100.0,"94,198","94,198","94,198","94,198","94,198",,0,,0.0,"93,952","105,191","105,191","105,191","105,191","105,191",,0,,0.0,"104,960","58,687","58,687","58,687","58,687","58,687",,0,,0.0,"58,624","32,277","32,277","32,277","32,277","32,277",,0,,0.0,"32,256","96,028","96,028","96,028","96,028","96,028",,0,,0.0,"96,000","22,028","22,028","22,028","22,028","22,028",,0,,0.0,"22,016","10,433","10,433","10,433","10,433","10,433",,0,,0.0,"10,349",-945,-945,,-945,-945,,0,,0.0,1,-640,-640,,-640,-640,,0,,0.0,1,58,58,58,58,58,,0,,0.0,57,"8,238","8,238","8,238","8,238","8,238",,0,,0.0,"8,209",-493,-493,,-493,-493,,0,,0.0,1,"29,379","29,379","29,379","29,379","29,379",,0,,0.0,"29,183","-1,012","-1,012",,"-1,012","-1,012",,0,,0.0,1,"-3,097","-3,097",,"-3,097","-3,097",,0,,0.0,1,"7,152","7,152","7,152","7,152","7,152",,0,,0.0,"6,912"
F3,1,100.0,"100,434","100,434","100,434","100,434","100,434",,0,,0.0,"100,352","114,714","114,714","114,714","114,714","114,714",,0,,0.0,"114,688","57,378","57,378","57,378","57,378","57,378",,0,,0.0,"57,344","33,846","33,846","33,846","33,846","33,846",,0,,0.0,"33,792","99,933","99,933","99,933","99,933","99,933",,0,,0.0,"99,840","22,196","22,196","22,196","22,196","22,196",,0,,0.0,"22,016","7,546","7,546","7,546","7,546","7,546",,0,,0.0,"7,537",-421,-421,,-421,-421,,0,,0.0,1,"-1,336","-1,336",,"-1,336","-1,336",,0,,0.0,1,220,220,220,220,220,,0,,0.0,219,"13,292","13,292","13,292","13,292","13,292",,0,,0.0,"13,208","-1,187","-1,187",,"-1,187","-1,187",,0,,0.0,1,"55,675","55,675","55,675","55,675","55,675",,0,,0.0,"55,025",-652,-652,,-652,-652,,0,,0.0,1,"2,796","2,796","2,796","2,796","2,796",,0,,0.0,"2,772","6,946","6,946","6,946","6,946","6,946",,0,,0.0,"6,912"
F4,1,100.0,"122,428","122,428","122,428","122,428","122,428",,0,,0.0,"122,368","117,829","117,829","117,829","117,829","117,829",,0,,0.0,"117,760","68,094","68,094","68,094","68,094","68,094",,0,,0.0,"67,840","46,116","46,116","46,116","46,116","46,116",,0,,0.0,"46,080","95,912","95,912","95,912","95,912","95,912",,0,,0.0,"95,744","31,511","31,511","31,511","31,511","31,511",,0,,0.0,"31,488",834,834,834,834,834,,0,,0.0,829,156,156,156,156,156,,0,,0.0,154,84,84,84,84,84,,0,,0.0,84,"1,108","1,108","1,108","1,108","1,108",,0,,0.0,"1,097","34,286","34,286","34,286","34,286","34,286",,0,,0.0,"34,197",-96,-96,,-96,-96,,0,,0.0,1,"38,096","38,096","38,096","38,096","38,096",,0,,0.0,"37,702",271,271,271,271,271,,0,,0.0,270,"1,528","1,528","1,528","1,528","1,528",,0,,0.0,"1,525","6,726","6,726","6,726","6,726","6,726",,0,,0.0,"6,656"
F5,1,100.0,"104,331","104,331","104,331","104,331","104,331",,0,,0.0,"104,192","113,160","113,160","113,160","113,160","113,160",,0,,0.0,"113,152","60,423","60,423","60,423","60,423","60,423",,0,,0.0,"60,416","23,809","23,809","23,809","23,809","23,809",,0,,0.0,"23,808","103,490","103,490","103,490","103,490","103,490",,0,,0.0,"103,424","15,077","15,077","15,077","15,077","15,077",,0,,0.0,"14,848","6,596","6,596","6,596","6,596","6,596",,0,,0.0,"6,591",-489,-489,,-489,-489,,0,,0.0,1,-949,-949,,-949,-949,,0,,0.0,1,619,619,619,619,619,,0,,0.0,611,"15,200","15,200","15,200","15,200","15,200",,0,,0.0,"15,105",-777,-777,,-777,-777,,0,,0.0,1,"58,996","58,996","58,996","58,996","58,996",,0,,0.0,"58,485",-426,-426,,-426,-426,,0,,0.0,1,"-1,547","-1,547",,"-1,547","-1,547",,0,,0.0,1,"6,510","6,510","6,510","6,510","6,510",,0,,0.0,"6,400"
F6,1,100.0,"109,086","109,086","109,086","109,086","109,086",,0,,0.0,"109,056","119,034","119,034","119,034","119,034","119,034",,0,,0.0,"118,784","60,059","60,059","60,059","60,059","60,059",,0,,0.0,"59,904","38,887","38,887","38,887","38,887","38,887",,0,,0.0,"38,656","100,967","100,967","100,967","100,967","100,967",,0,,0.0,"100,864","25,241","25,241","25,241","25,241","25,241",,0,,0.0,"25,088","3,132","3,132","3,132","3,132","3,132",,0,,0.0,"3,094",107,107,107,107,107,,0,,0.0,106,-514,-514,,-514,-514,,0,,0.0,1,276,276,276,276,276,,0,,0.0,273,"39,334","39,334","39,334","39,334","39,334",,0,,0.0,"39,107",-960,-960,,-960,-960,,0,,0.0,1,"36,653","36,653","36,653","36,653","36,653",,0,,0.0,"36,347",-142,-142,,-142,-142,,0,,0.0,1,"5,396","5,396","5,396","5,396","5,396",,0,,0.0,"5,357","6,285","6,285","6,285","6,285","6,285",,0,,0.0,"6,144"
F7,1,100.0,"88,350","88,350","88,350","88,350","88,350",,0,,0.0,"88,320","104,543","104,543","104,543","104,543","104,543",,0,,0.0,"104,448","55,385","55,385","55,385","55,385","55,385",,0,,0.0,"55,296","37,939","37,939","37,939","37,939","37,939",,0,,0.0,"37,888","93,812","93,812","93,812","93,812","93,812",,0,,0.0,"93,696","26,504","26,504","26,504","26,504","26,504",,0,,0.0,"26,368","2,532","2,532","2,532","2,532","2,532",,0,,0.0,"2,515",-78,-78,,-78,-78,,0,,0.0,1,133,133,133,133,133,,0,,0.0,131,325,325,325,325,325,,0,,0.0,320,"6,151","6,151","6,151","6,151","6,151",,0,,0.0,"6,126",-115,-115,,-115,-115,,0,,0.0,1,"36,123","36,123","36,123","36,123","36,123",,0,,0.0,"35,907",-58,-58,,-58,-58,,0,,0.0,1,514,514,514,514,514,,0,,0.0,509,"6,015","6,015","6,015","6,015","6,015",,0,,0.0,"5,888"
F8,1,100.0,"114,657","114,657","114,657","114,657","114,657",,0,,0.0,"114,432","133,034","133,034","133,034","133,034","133,034",,0,,0.0,"132,864","56,483","56,483","56,483","56,483","56,483",,0,,0.0,"56,320","30,753","30,753","30,753","30,753","30,753",,0,,0.0,"30,720","97,984","97,984","97,984","97,984","97,984",,0,,0.0,"97,792","20,569","20,569","20,569","20,569","20,569",,0,,0.0,"20,480","3,609","3,609","3,609","3,609","3,609",,0,,0.0,"3,582",-163,-163,,-163,-163,,0,,0.0,1,-512,-512,,-512,-512,,0,,0.0,1,33,33,33,33,33,,0,,0.0,32,"5,263","5,263","5,263","5,263","5,263",,0,,0.0,"5,227","1,905","1,905","1,905","1,905","1,905",,0,,0.0,"1,900","17,048","17,048","17,048","17,048","17,048",,0,,0.0,"16,857",-252,-252,,-252,-252,,0,,0.0,1,"1,534","1,534","1,534","1,534","1,534",,0,,0.0,"1,525","5,730","5,730","5,730","5,730","5,730",,0,,0.0,"5,632"
F9,1,100.0,"118,762","118,762","118,762","118,762","118,762",,0,,0.0,"118,528","116,240","116,240","116,240","116,240","116,240",,0,,0.0,"116,224","66,958","66,958","66,958","66,958","66,958",,0,,0.0,"66,816","37,903","37,903","37,903","37,903","37,903",,0,,0.0,"37,888","106,641","106,641","106,641","106,641","106,641",,0,,0.0,"106,496","23,293","23,293","23,293","23,293","23,293",,0,,0.0,"23,040","9,351","9,351","9,351","9,351","9,351",,0,,0.0,"9,273",-784,-784,,-784,-784,,0,,0.0,1,-110,-110,,-110,-110,,0,,0.0,1,588,588,588,588,588,,0,,0.0,582,"13,980","13,980","13,980","13,980","13,980",,0,,0.0,"13,869","-1,674","-1,674",,"-1,674","-1,674",,0,,0.0,1,"55,376","55,376","55,376","55,376","55,376",,0,,0.0,"55,025",-782,-782,,-782,-782,,0,,0.0,1,526,526,526,526,526,,0,,0.0,521,"5,457","5,457","5,457","5,457","5,457",,0,,0.0,"5,376"
F10,1,100.0,"96,063","96,063","96,063","96,063","96,063",,0,,0.0,"96,000","108,914","108,914","108,914","108,914","108,914",,0,,0.0,"108,800","57,803","57,803","57,803","57,803","57,803",,0,,0.0,"57,600","32,675","32,675","32,675","32,675","32,675",,0,,0.0,"32,512","97,227","97,227","97,227","97,227","97,227",,0,,0.0,"97,024","22,025","22,025","22,025","22,025","22,025",,0,,0.0,"22,016","2,074","2,074","2,074","2,074","2,074",,0,,0.0,"2,069",-80,-80,,-80,-80,,0,,0.0,1,7,7,7,7,7,,0,,0.0,6,2,2,2,2,2,,0,,0.0,1,"4,340","4,340","4,340","4,340","4,340",,0,,0.0,"4,301",-302,-302,,-302,-302,,0,,0.0,1,"44,500","44,500","44,500","44,500","44,500",,0,,0.0,"44,179",-40,-40,,-40,-40,,0,,0.0,1,494,494,494,494,494,,0,,0.0,491,"5,225","5,225","5,225","5,225","5,225",,0,,0.0,"5,120"
F11,1,100.0,"123,252","123,252","123,252","123,252","123,252",,0,,0.0,"123,136","136,603","136,603","136,603","136,603","136,603",,0,,0.0,"136,448","59,131","59,131","59,131","59,131","59,131",,0,,0.0,"58,880","34,583","34,583","34,583","34,583","34,583",,0,,0.0,"34,560","113,253","113,253","113,253","113,253","113,253",,0,,0.0,"113,152","20,012","20,012","20,012","20,012","20,012",,0,,0.0,"19,968","12,550","12,550","12,550","12,550","12,550",,0,,0.0,"12,427","-1,024","-1,024",,"-1,024","-1,024",,0,,0.0,1,"-1,606","-1,606",,"-1,606","-1,606",,0,,0.0,1,154,154,154,154,154,,0,,0.0,152,"8,889","8,889","8,889","8,889","8,889",,0,,0.0,"8,832","-1,397","-1,397",,"-1,397","-1,397",,0,,0.0,1,"65,340","65,340","65,340","65,340","65,340",,0,,0.0,"65,270","-1,271","-1,271",,"-1,271","-1,271",,0,,0.0,1,"-3,252","-3,252",,"-3,252","-3,252",,0,,0.0,1,"4,939","4,939","4,939","4,939","4,939",,0,,0.0,"4,864"
F12,1,100.0,"101,124","101,124","101,124","101,124","101,124",,0,,0.0,"101,120","113,234","113,234","113,234","113,234","113,234",,0,,0.0,"113,152","58,527","58,527","58,527","58,527","58,527",,0,,0.0,"58,368","27,959","27,959","27,959","27,959","27,959",,0,,0.0,"27,904","96,254","96,254","96,254","96,254","96,254",,0,,0.0,"96,000","19,036","19,036","19,036","19,036","19,036",,0,,0.0,"18,944","3,480","3,480","3,480","3,480","3,480",,0,,0.0,"3,453",-244,-244,,-244,-244,,0,,0.0,1,-488,-488,,-488,-488,,0,,0.0,1,182,182,182,182,182,,0,,0.0,180,"7,671","7,671","7,671","7,671","7,671",,0,,0.0,"7,629",-302,-302,,-302,-302,,0,,0.0,1,"50,861","50,861","50,861","50,861","50,861",,0,,0.0,"50,522",-225,-225,,-225,-225,,0,,0.0,1,-461,-461,,-461,-461,,0,,0.0,1,"4,702","4,702","4,702","4,702","4,702",,0,,0.0,"4,608"
G2,1,100.0,"121,321","121,321","121,321","121,321","121,321",,0,,0.0,"121,088","124,718","124,718","124,718","124,718","124,718",,0,,0.0,"124,672","63,751","63,751","63,751","63,751","63,751",,0,,0.0,"63,744","24,275","24,275","24,275","24,275","24,275",,0,,0.0,"24,064","112,821","112,821","112,821","112,821","112,821",,0,,0.0,"112,640","14,101","14,101","14,101","14,101","14,101",,0,,0.0,"14,080","8,887","8,887","8,887","8,887","8,887",,0,,0.0,"8,832",-942,-942,,-942,-942,,0,,0.0,1,-332,-332,,-332,-332,,0,,0.0,1,"1,004","1,004","1,004","1,004","1,004",,0,,0.0,995,"15,504","15,504","15,504","15,504","15,504",,0,,0.0,"15,477",-176,-176,,-176,-176,,0,,0.0,1,"17,537","17,537","17,537","17,537","17,537",,0,,0.0,"17,485",-827,-827,,-827,-827,,0,,0.0,1,"2,382","2,382","2,382","2,382","2,382",,0,,0.0,"2,366","7,476","7,476","7,476","7,476","7,476",,0,,0.0,"7,424"
G3,1,100.0,"91,734","91,734","91,734","91,734","91,734",,0,,0.0,"91,648","111,352","111,352","111,352","111,352","111,352",,0,,0.0,"111,104","53,990","53,990","53,990","53,990","53,990",,0,,0.0,"53,760","24,151","24,151","24,151","24,151","24,151",,0,,0.0,"24,064","105,151","105,151","105,151","105,151","105,151",,0,,0.0,"104,960","15,052","15,052","15,052","15,052","15,052",,0,,0.0,"14,848",910,910,910,910,910,,0,,0.0,903,-66,-66,,-66,-66,,0,,0.0,1,158,158,158,158,158,,0,,0.0,156,128,128,128,128,128,,0,,0.0,127,"4,998","4,998","4,998","4,998","4,998",,0,,0.0,"4,979",95,95,95,95,95,,0,,0.0,95,"6,321","6,321","6,321","6,321","6,321",,0,,0.0,"6,277",-7,-7,,-7,-7,,0,,0.0,1,335,335,335,335,335,,0,,0.0,332,"7,995","7,995","7,995","7,995","7,995",,0,,0.0,"7,936"
G4,1,100.0,"105,967","105,967","105,967","105,967","105,967",,0,,0.0,"105,728","130,038","130,038","130,038","130,038","130,038",,0,,0.0,"129,792","53,405","53,405","53,405","53,405","53,405",,0,,0.0,"53,248","38,524","38,524","38,524","38,524","38,524",,0,,0.0,"38,400","99,190","99,190","99,190","99,190","99,190",,0,,0.0,"99,072","25,453","25,453","25,453","25,453","25,453",,0,,0.0,"25,344","24,704","24,704","24,704","24,704","24,704",,0,,0.0,"24,602","-1,640","-1,640",,"-1,640","-1,640",,0,,0.0,1,"-1,419","-1,419",,"-1,419","-1,419",,0,,0.0,1,122,122,122,122,122,,0,,0.0,121,"11,774","11,774","11,774","11,774","11,774",,0,,0.0,"11,692",-313,-313,,-313,-313,,0,,0.0,1,"59,684","59,684","59,684","59,684","59,684",,0,,0.0,"59,202","-2,117","-2,117",,"-2,117","-2,117",,0,,0.0,1,"-6,084","-6,084",,"-6,084","-6,084",,0,,0.0,1,"8,221","8,221","8,221","8,221","8,221",,0,,0.0,"8,192"
G5,1,100.0,"81,780","81,780","81,780","81,780","81,780",,0,,0.0,"81,664","122,258","122,258","122,258","122,258","122,258",,0,,0.0,"122,112","43,838","43,838","43,838","43,838","43,838",,0,,0.0,"43,776","43,760","43,760","43,760","43,760","43,760",,0,,0.0,"43,520","103,919","103,919","103,919","103,919","103,919",,0,,0.0,"103,680","27,597","27,597","27,597","27,597","27,597",,0,,0.0,"27,392","9,430","9,430","9,430","9,430","9,430",,0,,0.0,"9,387",-828,-828,,-828,-828,,0,,0.0,1,235,235,235,235,235,,0,,0.0,233,480,480,480,480,480,,0,,0.0,479,"7,443","7,443","7,443","7,443","7,443",,0,,0.0,"7,355",-407,-407,,-407,-407,,0,,0.0,1,"55,823","55,823","55,823","55,823","55,823",,0,,0.0,"55,700",-881,-881,,-881,-881,,0,,0.0,1,"-2,158","-2,158",,"-2,158","-2,158",,0,,0.0,1,"8,717","8,717","8,717","8,717","8,717",,0,,0.0,"8,704"
G6,1,100.0,"103,179","103,179","103,179","103,179","103,179",,0,,0.0,"103,168","130,770","130,770","130,770","130,770","130,770",,0,,0.0,"130,560","51,709","51,709","51,709","51,709","51,709",,0,,0.0,"51,456","41,046","41,046","41,046","41,046","41,046",,0,,0.0,"40,960","96,665","96,665","96,665","96,665","96,665",,0,,0.0,"96,512","27,828","27,828","27,828","27,828","27,828",,0,,0.0,"27,648","4,693","4,693","4,693","4,693","4,693",,0,,0.0,"4,684",-367,-367,,-367,-367,,0,,0.0,1,238,238,238,238,238,,0,,0.0,236,137,137,137,137,137,,0,,0.0,135,"4,413","4,413","4,413","4,413","4,413",,0,,0.0,"4,407",-317,-317,,-317,-317,,0,,0.0,1,"30,349","30,349","30,349","30,349","30,349",,0,,0.0,"30,271",-327,-327,,-327,-327,,0,,0.0,1,-641,-641,,-641,-641,,0,,0.0,1,"9,139","9,139","9,139","9,139","9,139",,0,,0.0,"8,960"
G7,1,100.0,"87,244","87,244","87,244","87,244","87,244",,0,,0.0,"87,040","104,274","104,274","104,274","104,274","104,274",,0,,0.0,"104,192","54,833","54,833","54,833","54,833","54,833",,0,,0.0,"54,784","20,586","20,586","20,586","20,586","20,586",,0,,0.0,"20,480","98,966","98,966","98,966","98,966","98,966",,0,,0.0,"98,816","13,632","13,632","13,632","13,632","13,632",,0,,0.0,"13,568","1,315","1,315","1,315","1,315","1,315",,0,,0.0,"1,302",29,29,29,29,29,,0,,0.0,29,46,46,46,46,46,,0,,0.0,45,72,72,72,72,72,,0,,0.0,71,"6,526","6,526","6,526","6,526","6,526",,0,,0.0,"6,511",-370,-370,,-370,-370,,0,,0.0,1,"16,013","16,013","16,013","16,013","16,013",,0,,0.0,"15,860",-76,-76,,-76,-76,,0,,0.0,1,-134,-134,,-134,-134,,0,,0.0,1,"9,408","9,408","9,408","9,408","9,408",,0,,0.0,"9,216"
G8,1,100.0,"93,567","93,567","93,567","93,567","93,567",,0,,0.0,"93,440","106,455","106,455","106,455","106,455","106,455",,0,,0.0,"106,240","57,602","57,602","57,602","57,602","57,602",,0,,0.0,"57,600","26,439","26,439","26,439","26,439","26,439",,0,,0.0,"26,368","94,148","94,148","94,148","94,148","94,148",,0,,0.0,"93,952","18,404","18,404","18,404","18,404","18,404",,0,,0.0,"18,176","5,208","5,208","5,208","5,208","5,208",,0,,0.0,"5,164",-347,-347,,-347,-347,,0,,0.0,1,288,288,288,288,288,,0,,0.0,287,330,330,330,330,330,,0,,0.0,328,"9,896","9,896","9,896","9,896","9,896",,0,,0.0,"9,856",-825,-825,,-825,-825,,0,,0.0,1,"30,640","30,640","30,640","30,640","30,640",,0,,0.0,"30,271",-291,-291,,-291,-291,,0,,0.0,1,"3,169","3,169","3,169","3,169","3,169",,0,,0.0,"3,132","9,820","9,820","9,820","9,820","9,820",,0,,0.0,"9,728"
G9,1,100.0,"88,203","88,203","88,203","88,203","88,203",,0,,0.0,"88,064","102,980","102,980","102,980","102,980","102,980",,0,,0.0,"102,912","56,132","56,132","56,132","56,132","56,132",,0,,0.0,"56,064","35,828","35,828","35,828","35,828","35,828",,0,,0.0,"35,584","97,073","97,073","97,073","97,073","97,073",,0,,0.0,"97,024","24,188","24,188","24,188","24,188","24,188",,0,,0.0,"24,064","1,818","1,818","1,818","1,818","1,818",,0,,0.0,"1,809",849,849,849,849,849,,0,,0.0,839,-246,-246,,-246,-246,,0,,0.0,1,148,148,148,148,148,,0,,0.0,147,"16,060","16,060","16,060","16,060","16,060",,0,,0.0,"16,054",-88,-88,,-88,-88,,0,,0.0,1,"14,119","14,119","14,119","14,119","14,119",,0,,0.0,"14,039",817,817,817,817,817,,0,,0.0,809,"15,029","15,029","15,029","15,029","15,029",,0,,0.0,"14,921","10,033","10,033","10,033","10,033","10,033",,0,,0.0,"9,984"
G10,1,100.0,"118,414","118,414","118,414","118,414","118,414",,0,,0.0,"118,272","123,829","123,829","123,829","123,829","123,829",,0,,0.0,"123,648","62,670","62,670","62,670","62,670","62,670",,0,,0.0,"62,464","28,504","28,504","28,504","28,504","28,504",,0,,0.0,"28,416","104,488","104,488","104,488","104,488","104,488",,0,,0.0,"104,448","17,878","17,878","17,878","17,878","17,878",,0,,0.0,"17,664",741,741,741,741,741,,0,,0.0,734,102,102,102,102,102,,0,,0.0,102,-642,-642,,-642,-642,,0,,0.0,1,0,0,,0,0,,0,,0.0,1,"23,914","23,914","23,914","23,914","23,914",,0,,0.0,"23,718",-137,-137,,-137,-137,,0,,0.0,1,"3,453","3,453","3,453","3,453","3,453",,0,,0.0,"3,411",716,716,716,716,716,,0,,0.0,707,"16,098","16,098","16,098","16,098","16,098",,0,,0.0,"16,054","10,674","10,674","10,674","10,674","10,674",,0,,0.0,"10,496"
G11,1,100.0,"98,884","98,884","98,884","98,884","98,884",,0,,0.0,"98,816","126,180","126,180","126,180","126,180","126,180",,0,,0.0,"125,952","51,359","51,359","51,359","51,359","51,359",,0,,0.0,"51,200","38,804","38,804","38,804","38,804","38,804",,0,,0.0,"38,656","114,609","114,609","114,609","114,609","114,609",,0,,0.0,"114,432","22,189","22,189","22,189","22,189","22,189",,0,,0.0,"22,016","3,729","3,729","3,729","3,729","3,729",,0,,0.0,"3,715",-207,-207,,-207,-207,,0,,0.0,1,-167,-167,,-167,-167,,0,,0.0,1,198,198,198,198,198,,0,,0.0,197,"7,122","7,122","7,122","7,122","7,122",,0,,0.0,"7,091",-380,-380,,-380,-380,,0,,0.0,1,"31,661","31,661","31,661","31,661","31,661",,0,,0.0,"31,399",-209,-209,,-209,-209,,0,,0.0,1,"2,601","2,601","2,601","2,601","2,601",,0,,0.0,"2,577","11,079","11,079","11,079","11,079","11,079",,0,,0.0,"11,008"
G12,1,100.0,"107,583","107,583","107,583","107,583","107,583",,0,,0.0,"107,520","113,847","113,847","113,847","113,847","113,847",,0,,0.0,"113,664","61,930","61,930","61,930","61,930","61,930",,0,,0.0,"61,696","33,325","33,325","33,325","33,325","33,325",,0,,0.0,"33,280","106,779","106,779","106,779","106,779","106,779",,0,,0.0,"106,752","20,453","20,453","20,453","20,453","20,453",,0,,0.0,"20,224","13,672","13,672","13,672","13,672","13,672",,0,,0.0,"13,534","-1,131","-1,131",,"-1,131","-1,131",,0,,0.0,1,166,166,166,166,166,,0,,0.0,166,674,674,674,674,674,,0,,0.0,666,"19,399","19,399","19,399","19,399","19,399",,0,,0.0,"19,277",-283,-283,,-283,-283,,0,,0.0,1,"49,269","49,269","49,269","49,269","49,269",,0,,0.0,"48,707","-1,137","-1,137",,"-1,137","-1,137",,0,,0.0,1,"4,672","4,672","4,672","4,672","4,672",,0,,0.0,"4,627","11,364","11,364","11,364","11,364","11,364",,0,,0.0,"11,264"
