Experiment Name,141120BE56d10sort
Specimen Name,Specimen_001
Tube Name,INX_sampleAWE_005
Record Date,"Nov 20, 2014 7:59:42 PM"
$OP,CarolineGuibentif 
GUID,b80206b2-8d56-466e-9460-b3b1a7ed5660 
Date Analyzed,12/09/2014 18:10

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,Carolina96wells141120
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P4 #Events,P4 %Parent,P4 FSC-A Min,P4 FSC-A Max,P4 FSC-A Geo Mean,P4 FSC-A Mean,P4 FSC-A Median,P4 FSC-A SD,P4 FSC-A rSD,P4 FSC-A %CV,P4 FSC-A %rCV,P4 FSC-A Mode,P4 FSC-W Min,P4 FSC-W Max,P4 FSC-W Geo Mean,P4 FSC-W Mean,P4 FSC-W Median,P4 FSC-W SD,P4 FSC-W rSD,P4 FSC-W %CV,P4 FSC-W %rCV,P4 FSC-W Mode,P4 FSC-H Min,P4 FSC-H Max,P4 FSC-H Geo Mean,P4 FSC-H Mean,P4 FSC-H Median,P4 FSC-H SD,P4 FSC-H rSD,P4 FSC-H %CV,P4 FSC-H %rCV,P4 FSC-H Mode,P4 SSC-A Min,P4 SSC-A Max,P4 SSC-A Geo Mean,P4 SSC-A Mean,P4 SSC-A Median,P4 SSC-A SD,P4 SSC-A rSD,P4 SSC-A %CV,P4 SSC-A %rCV,P4 SSC-A Mode,P4 SSC-W Min,P4 SSC-W Max,P4 SSC-W Geo Mean,P4 SSC-W Mean,P4 SSC-W Median,P4 SSC-W SD,P4 SSC-W rSD,P4 SSC-W %CV,P4 SSC-W %rCV,P4 SSC-W Mode,P4 SSC-H Min,P4 SSC-H Max,P4 SSC-H Geo Mean,P4 SSC-H Mean,P4 SSC-H Median,P4 SSC-H SD,P4 SSC-H rSD,P4 SSC-H %CV,P4 SSC-H %rCV,P4 SSC-H Mode,P4 GFP FITC-A Min,P4 GFP FITC-A Max,P4 GFP FITC-A Geo Mean,P4 GFP FITC-A Mean,P4 GFP FITC-A Median,P4 GFP FITC-A SD,P4 GFP FITC-A rSD,P4 GFP FITC-A %CV,P4 GFP FITC-A %rCV,P4 GFP FITC-A Mode,P4 CD73 PE-A Min,P4 CD73 PE-A Max,P4 CD73 PE-A Geo Mean,P4 CD73 PE-A Mean,P4 CD73 PE-A Median,P4 CD73 PE-A SD,P4 CD73 PE-A rSD,P4 CD73 PE-A %CV,P4 CD73 PE-A %rCV,P4 CD73 PE-A Mode,P4 7AAD PE-Cy5-A Min,P4 7AAD PE-Cy5-A Max,P4 7AAD PE-Cy5-A Geo Mean,P4 7AAD PE-Cy5-A Mean,P4 7AAD PE-Cy5-A Median,P4 7AAD PE-Cy5-A SD,P4 7AAD PE-Cy5-A rSD,P4 7AAD PE-Cy5-A %CV,P4 7AAD PE-Cy5-A %rCV,P4 7AAD PE-Cy5-A Mode,P4 CD49f PE-Cy7-A Min,P4 CD49f PE-Cy7-A Max,P4 CD49f PE-Cy7-A Geo Mean,P4 CD49f PE-Cy7-A Mean,P4 CD49f PE-Cy7-A Median,P4 CD49f PE-Cy7-A SD,P4 CD49f PE-Cy7-A rSD,P4 CD49f PE-Cy7-A %CV,P4 CD49f PE-Cy7-A %rCV,P4 CD49f PE-Cy7-A Mode,P4 CD34 APC-A Min,P4 CD34 APC-A Max,P4 CD34 APC-A Geo Mean,P4 CD34 APC-A Mean,P4 CD34 APC-A Median,P4 CD34 APC-A SD,P4 CD34 APC-A rSD,P4 CD34 APC-A %CV,P4 CD34 APC-A %rCV,P4 CD34 APC-A Mode,P4 CD45 Alexa Fluor 700-A Min,P4 CD45 Alexa Fluor 700-A Max,P4 CD45 Alexa Fluor 700-A Geo Mean,P4 CD45 Alexa Fluor 700-A Mean,P4 CD45 Alexa Fluor 700-A Median,P4 CD45 Alexa Fluor 700-A SD,P4 CD45 Alexa Fluor 700-A rSD,P4 CD45 Alexa Fluor 700-A %CV,P4 CD45 Alexa Fluor 700-A %rCV,P4 CD45 Alexa Fluor 700-A Mode,P4 CD43 APC-Cy7-A Min,P4 CD43 APC-Cy7-A Max,P4 CD43 APC-Cy7-A Geo Mean,P4 CD43 APC-Cy7-A Mean,P4 CD43 APC-Cy7-A Median,P4 CD43 APC-Cy7-A SD,P4 CD43 APC-Cy7-A rSD,P4 CD43 APC-Cy7-A %CV,P4 CD43 APC-Cy7-A %rCV,P4 CD43 APC-Cy7-A Mode,P4 CXCR4 Pacific Blue-A Min,P4 CXCR4 Pacific Blue-A Max,P4 CXCR4 Pacific Blue-A Geo Mean,P4 CXCR4 Pacific Blue-A Mean,P4 CXCR4 Pacific Blue-A Median,P4 CXCR4 Pacific Blue-A SD,P4 CXCR4 Pacific Blue-A rSD,P4 CXCR4 Pacific Blue-A %CV,P4 CXCR4 Pacific Blue-A %rCV,P4 CXCR4 Pacific Blue-A Mode,P4 CD90 Qdot 605-A Min,P4 CD90 Qdot 605-A Max,P4 CD90 Qdot 605-A Geo Mean,P4 CD90 Qdot 605-A Mean,P4 CD90 Qdot 605-A Median,P4 CD90 Qdot 605-A SD,P4 CD90 Qdot 605-A rSD,P4 CD90 Qdot 605-A %CV,P4 CD90 Qdot 605-A %rCV,P4 CD90 Qdot 605-A Mode,P4 Time Min,P4 Time Max,P4 Time Geo Mean,P4 Time Mean,P4 Time Median,P4 Time SD,P4 Time rSD,P4 Time %CV,P4 Time %rCV,P4 Time Mode
A11,1,100.0,"81,013","81,013","81,013","81,013","81,013",,0,,0.0,"80,896","106,437","106,437","106,436","106,437","106,437",,0,,0.0,"106,240","49,882","49,882","49,882","49,882","49,882",,0,,0.0,"49,664","47,469","47,469","47,469","47,469","47,469",,0,,0.0,"47,360","95,286","95,286","95,286","95,286","95,286",,0,,0.0,"95,232","32,648","32,648","32,648","32,648","32,648",,0,,0.0,"32,512",622,622,622,622,622,,0,,0.0,619,87,87,87,87,87,,0,,0.0,86,-497,-497,,-497,-497,,0,,0.0,1,"2,409","2,409","2,409","2,409","2,409",,0,,0.0,"2,395","7,644","7,644","7,644","7,644","7,644",,0,,0.0,"7,629",-269,-269,,-269,-269,,0,,0.0,1,-168,-168,,-168,-168,,0,,0.0,1,646,646,646,646,646,,0,,0.0,642,447,447,447,447,447,,0,,0.0,445,"7,329","7,329","7,329","7,329","7,329",,0,,0.0,"7,168"
A12,1,100.0,"88,237","88,237","88,237","88,237","88,237",,0,,0.0,"88,064","107,065","107,065","107,065","107,065","107,065",,0,,0.0,"107,008","54,011","54,011","54,011","54,011","54,011",,0,,0.0,"53,760","28,065","28,065","28,065","28,065","28,065",,0,,0.0,"27,904","100,215","100,215","100,215","100,215","100,215",,0,,0.0,"100,096","18,353","18,353","18,353","18,353","18,353",,0,,0.0,"18,176","1,346","1,346","1,346","1,346","1,346",,0,,0.0,"1,334",30,30,30,30,30,,0,,0.0,30,4,4,4,4,4,,0,,0.0,3,65,65,65,65,65,,0,,0.0,65,"26,856","26,856","26,856","26,856","26,856",,0,,0.0,"26,795",-69,-69,,-69,-69,,0,,0.0,1,-15,-15,,-15,-15,,0,,0.0,1,143,143,143,143,143,,0,,0.0,141,"9,808","9,808","9,808","9,808","9,808",,0,,0.0,"9,737","8,529","8,529","8,528","8,529","8,529",,0,,0.0,"8,448"
B2,1,100.0,"87,491","87,491","87,491","87,491","87,491",,0,,0.0,"87,296","109,797","109,797","109,797","109,797","109,797",,0,,0.0,"109,568","52,222","52,222","52,222","52,222","52,222",,0,,0.0,"51,968","55,848","55,848","55,848","55,848","55,848",,0,,0.0,"55,808","104,186","104,186","104,186","104,186","104,186",,0,,0.0,"103,936","35,130","35,130","35,130","35,130","35,130",,0,,0.0,"35,072",902,902,902,902,902,,0,,0.0,892,506,506,506,506,506,,0,,0.0,503,255,255,255,255,255,,0,,0.0,254,"2,668","2,668","2,668","2,668","2,668",,0,,0.0,"2,640","5,349","5,349","5,349","5,349","5,349",,0,,0.0,"5,292",-162,-162,,-162,-162,,0,,0.0,1,24,24,24,24,24,,0,,0.0,24,353,353,353,353,353,,0,,0.0,349,641,641,641,641,641,,0,,0.0,634,"15,117","15,117","15,117","15,117","15,117",,0,,0.0,"15,104"
B3,1,100.0,"122,705","122,705","122,705","122,705","122,705",,0,,0.0,"122,624","127,309","127,309","127,309","127,309","127,309",,0,,0.0,"127,232","63,166","63,166","63,166","63,166","63,166",,0,,0.0,"62,976","49,847","49,847","49,847","49,847","49,847",,0,,0.0,"49,664","108,647","108,647","108,647","108,647","108,647",,0,,0.0,"108,544","30,068","30,068","30,068","30,068","30,068",,0,,0.0,"29,952","1,130","1,130","1,130","1,130","1,130",,0,,0.0,"1,124",697,697,697,697,697,,0,,0.0,690,405,405,405,405,405,,0,,0.0,404,38,38,38,38,38,,0,,0.0,38,"54,269","54,269","54,269","54,269","54,269",,0,,0.0,"53,699","-1,103","-1,103",,"-1,103","-1,103",,0,,0.0,1,652,652,652,652,652,,0,,0.0,649,898,898,898,898,898,,0,,0.0,892,"72,760","72,760","72,760","72,760","72,760",,0,,0.0,"71,959","13,473","13,473","13,473","13,473","13,473",,0,,0.0,"13,312"
B4,1,100.0,"85,909","85,909","85,909","85,909","85,909",,0,,0.0,"85,760","100,111","100,111","100,111","100,111","100,111",,0,,0.0,"100,096","56,239","56,239","56,239","56,239","56,239",,0,,0.0,"56,064","26,808","26,808","26,808","26,808","26,808",,0,,0.0,"26,624","91,883","91,883","91,883","91,883","91,883",,0,,0.0,"91,648","19,121","19,121","19,121","19,121","19,121",,0,,0.0,"18,944","1,279","1,279","1,279","1,279","1,279",,0,,0.0,"1,270","22,042","22,042","22,042","22,042","22,042",,0,,0.0,"21,778",-944,-944,,-944,-944,,0,,0.0,1,-109,-109,,-109,-109,,0,,0.0,1,"112,101","112,101","112,101","112,101","112,101",,0,,0.0,"111,627",231,231,231,231,231,,0,,0.0,228,-602,-602,,-602,-602,,0,,0.0,1,"2,474","2,474","2,474","2,474","2,474",,0,,0.0,"2,454","40,057","40,057","40,057","40,057","40,057",,0,,0.0,"39,587","12,588","12,588","12,587","12,588","12,588",,0,,0.0,"12,544"
B5,1,100.0,"106,215","106,215","106,215","106,215","106,215",,0,,0.0,"105,984","117,691","117,691","117,691","117,691","117,691",,0,,0.0,"117,504","59,146","59,146","59,146","59,146","59,146",,0,,0.0,"59,136","40,277","40,277","40,277","40,277","40,277",,0,,0.0,"40,192","110,609","110,609","110,609","110,609","110,609",,0,,0.0,"110,592","23,864","23,864","23,864","23,864","23,864",,0,,0.0,"23,808",854,854,854,854,854,,0,,0.0,849,"1,537","1,537","1,537","1,537","1,537",,0,,0.0,"1,525",387,387,387,387,387,,0,,0.0,384,-89,-89,,-89,-89,,0,,0.0,1,"74,719","74,719","74,719","74,719","74,719",,0,,0.0,"74,641","-3,677","-3,677",,"-3,677","-3,677",,0,,0.0,1,"2,325","2,325","2,325","2,325","2,325",,0,,0.0,"2,309",385,385,385,385,385,,0,,0.0,384,"40,923","40,923","40,923","40,923","40,923",,0,,0.0,"40,564","11,860","11,860","11,860","11,860","11,860",,0,,0.0,"11,776"
B6,1,100.0,"86,609","86,609","86,609","86,609","86,609",,0,,0.0,"86,528","103,892","103,892","103,892","103,892","103,892",,0,,0.0,"103,680","54,634","54,634","54,634","54,634","54,634",,0,,0.0,"54,528","34,346","34,346","34,346","34,346","34,346",,0,,0.0,"34,304","98,122","98,122","98,122","98,122","98,122",,0,,0.0,"98,048","22,940","22,940","22,940","22,940","22,940",,0,,0.0,"22,784","1,004","1,004","1,004","1,004","1,004",,0,,0.0,995,"58,565","58,565","58,565","58,565","58,565",,0,,0.0,"58,485",17,17,17,17,17,,0,,0.0,16,-186,-186,,-186,-186,,0,,0.0,1,"155,108","155,108","155,108","155,108","155,108",,0,,0.0,"153,279","-1,463","-1,463",,"-1,463","-1,463",,0,,0.0,1,234,234,234,234,234,,0,,0.0,230,613,613,613,613,613,,0,,0.0,611,"50,702","50,702","50,702","50,702","50,702",,0,,0.0,"50,522","11,626","11,626","11,625","11,626","11,626",,0,,0.0,"11,520"
B7,1,100.0,"95,267","95,267","95,267","95,267","95,267",,0,,0.0,"95,232","105,845","105,845","105,845","105,845","105,845",,0,,0.0,"105,728","58,986","58,986","58,986","58,986","58,986",,0,,0.0,"58,880","35,200","35,200","35,200","35,200","35,200",,0,,0.0,"35,072","93,181","93,181","93,181","93,181","93,181",,0,,0.0,"92,928","24,757","24,757","24,757","24,757","24,757",,0,,0.0,"24,576",852,852,852,852,852,,0,,0.0,849,"2,481","2,481","2,481","2,481","2,481",,0,,0.0,"2,454",40,40,40,40,40,,0,,0.0,40,157,157,157,157,157,,0,,0.0,156,"35,258","35,258","35,258","35,258","35,258",,0,,0.0,"35,041",-578,-578,,-578,-578,,0,,0.0,1,996,996,996,996,996,,0,,0.0,995,109,109,109,109,109,,0,,0.0,107,"23,784","23,784","23,784","23,784","23,784",,0,,0.0,"23,718","11,405","11,405","11,405","11,405","11,405",,0,,0.0,"11,264"
B8,1,100.0,"86,576","86,576","86,576","86,576","86,576",,0,,0.0,"86,528","101,118","101,118","101,118","101,118","101,118",,0,,0.0,"100,864","56,111","56,111","56,111","56,111","56,111",,0,,0.0,"56,064","26,164","26,164","26,164","26,164","26,164",,0,,0.0,"26,112","95,308","95,308","95,308","95,308","95,308",,0,,0.0,"95,232","17,991","17,991","17,991","17,991","17,991",,0,,0.0,"17,920",745,745,745,745,745,,0,,0.0,743,170,170,170,170,170,,0,,0.0,170,-320,-320,,-320,-320,,0,,0.0,1,66,66,66,66,66,,0,,0.0,65,"9,797","9,797","9,797","9,797","9,797",,0,,0.0,"9,737",-324,-324,,-324,-324,,0,,0.0,1,148,148,148,148,148,,0,,0.0,147,19,19,19,19,19,,0,,0.0,19,"24,108","24,108","24,108","24,108","24,108",,0,,0.0,"24,009","11,075","11,075","11,075","11,075","11,075",,0,,0.0,"11,008"
B9,1,100.0,"96,147","96,147","96,147","96,147","96,147",,0,,0.0,"96,000","106,520","106,520","106,520","106,520","106,520",,0,,0.0,"106,496","59,154","59,154","59,154","59,154","59,154",,0,,0.0,"59,136","20,790","20,790","20,790","20,790","20,790",,0,,0.0,"20,736","102,907","102,907","102,907","102,907","102,907",,0,,0.0,"102,656","13,240","13,240","13,240","13,240","13,240",,0,,0.0,"13,056",537,537,537,537,537,,0,,0.0,534,673,673,673,673,673,,0,,0.0,666,-389,-389,,-389,-389,,0,,0.0,1,543,543,543,543,543,,0,,0.0,541,"26,905","26,905","26,905","26,905","26,905",,0,,0.0,"26,795",-911,-911,,-911,-911,,0,,0.0,1,544,544,544,544,544,,0,,0.0,541,265,265,265,265,265,,0,,0.0,263,"18,481","18,481","18,481","18,481","18,481",,0,,0.0,"18,359","10,201","10,201","10,201","10,201","10,201",,0,,0.0,"9,984"
B10,1,100.0,"76,730","76,730","76,730","76,730","76,730",,0,,0.0,"76,544","108,817","108,817","108,817","108,817","108,817",,0,,0.0,"108,800","46,211","46,211","46,211","46,211","46,211",,0,,0.0,"46,080","45,780","45,780","45,780","45,780","45,780",,0,,0.0,"45,568","97,218","97,218","97,218","97,218","97,218",,0,,0.0,"97,024","30,861","30,861","30,861","30,861","30,861",,0,,0.0,"30,720",819,819,819,819,819,,0,,0.0,819,133,133,133,133,133,,0,,0.0,131,-221,-221,,-221,-221,,0,,0.0,1,46,46,46,46,46,,0,,0.0,45,"26,239","26,239","26,239","26,239","26,239",,0,,0.0,"26,149",-657,-657,,-657,-657,,0,,0.0,1,"1,475","1,475","1,475","1,475","1,475",,0,,0.0,"1,470",114,114,114,114,114,,0,,0.0,114,"6,090","6,090","6,090","6,090","6,090",,0,,0.0,"6,051","9,508","9,508","9,507","9,508","9,508",,0,,0.0,"9,472"
B11,1,100.0,"99,042","99,042","99,042","99,042","99,042",,0,,0.0,"98,816","108,061","108,061","108,061","108,061","108,061",,0,,0.0,"108,032","60,066","60,066","60,066","60,066","60,066",,0,,0.0,"59,904","30,893","30,893","30,893","30,893","30,893",,0,,0.0,"30,720","95,824","95,824","95,824","95,824","95,824",,0,,0.0,"95,744","21,128","21,128","21,128","21,128","21,128",,0,,0.0,"20,992","1,231","1,231","1,231","1,231","1,231",,0,,0.0,"1,225","1,780","1,780","1,780","1,780","1,780",,0,,0.0,"1,766","-1,150","-1,150",,"-1,150","-1,150",,0,,0.0,1,92,92,92,92,92,,0,,0.0,90,"73,820","73,820","73,820","73,820","73,820",,0,,0.0,"73,736",606,606,606,606,606,,0,,0.0,604,634,634,634,634,634,,0,,0.0,634,178,178,178,178,178,,0,,0.0,176,"22,582","22,582","22,582","22,582","22,582",,0,,0.0,"22,315","9,269","9,269","9,269","9,269","9,269",,0,,0.0,"9,216"
B12,1,100.0,"78,737","78,737","78,737","78,737","78,737",,0,,0.0,"78,592","96,660","96,660","96,660","96,660","96,660",,0,,0.0,"96,512","53,384","53,384","53,384","53,384","53,384",,0,,0.0,"53,248","41,239","41,239","41,239","41,239","41,239",,0,,0.0,"41,216","90,920","90,920","90,920","90,920","90,920",,0,,0.0,"90,880","29,725","29,725","29,725","29,725","29,725",,0,,0.0,"29,696","1,122","1,122","1,122","1,122","1,122",,0,,0.0,"1,111","33,733","33,733","33,733","33,733","33,733",,0,,0.0,"33,373",-91,-91,,-91,-91,,0,,0.0,1,-139,-139,,-139,-139,,0,,0.0,1,"96,588","96,588","96,588","96,588","96,588",,0,,0.0,"96,429",-660,-660,,-660,-660,,0,,0.0,1,-500,-500,,-500,-500,,0,,0.0,1,249,249,249,249,249,,0,,0.0,248,"43,930","43,930","43,930","43,930","43,930",,0,,0.0,"43,644","8,887","8,887","8,887","8,887","8,887",,0,,0.0,"8,704"
C1,1,100.0,"81,282","81,282","81,282","81,282","81,282",,0,,0.0,"81,152","100,779","100,779","100,779","100,779","100,779",,0,,0.0,"100,608","52,857","52,857","52,857","52,857","52,857",,0,,0.0,"52,736","24,763","24,763","24,763","24,763","24,763",,0,,0.0,"24,576","92,104","92,104","92,104","92,104","92,104",,0,,0.0,"91,904","17,620","17,620","17,620","17,620","17,620",,0,,0.0,"17,408",561,561,561,561,561,,0,,0.0,554,"2,239","2,239","2,239","2,239","2,239",,0,,0.0,"2,226",-674,-674,,-674,-674,,0,,0.0,1,-45,-45,,-45,-45,,0,,0.0,1,"152,272","152,272","152,272","152,272","152,272",,0,,0.0,"151,421","-5,327","-5,327",,"-5,327","-5,327",,0,,0.0,1,"1,615","1,615","1,615","1,615","1,615",,0,,0.0,"1,601","2,610","2,610","2,610","2,610","2,610",,0,,0.0,"2,608","21,661","21,661","21,661","21,661","21,661",,0,,0.0,"21,514","16,631","16,631","16,631","16,631","16,631",,0,,0.0,"16,384"
C2,1,100.0,"69,182","69,182","69,182","69,182","69,182",,0,,0.0,"69,120","95,039","95,039","95,039","95,039","95,039",,0,,0.0,"94,976","47,706","47,706","47,706","47,706","47,706",,0,,0.0,"47,616","19,694","19,694","19,694","19,694","19,694",,0,,0.0,"19,456","80,992","80,992","80,992","80,992","80,992",,0,,0.0,"80,896","15,936","15,936","15,936","15,936","15,936",,0,,0.0,"15,872",530,530,530,530,530,,0,,0.0,528,69,69,69,69,69,,0,,0.0,67,45,45,45,45,45,,0,,0.0,44,3,3,3,3,3,,0,,0.0,3,"5,534","5,534","5,534","5,534","5,534",,0,,0.0,"5,489",155,155,155,155,155,,0,,0.0,154,-241,-241,,-241,-241,,0,,0.0,1,267,267,267,267,267,,0,,0.0,263,"14,068","14,068","14,068","14,068","14,068",,0,,0.0,"14,039","15,337","15,337","15,337","15,337","15,337",,0,,0.0,"15,104"
C3,1,100.0,"83,296","83,296","83,296","83,296","83,296",,0,,0.0,"83,200","95,691","95,691","95,691","95,691","95,691",,0,,0.0,"95,488","57,047","57,047","57,047","57,047","57,047",,0,,0.0,"56,832","27,606","27,606","27,606","27,606","27,606",,0,,0.0,"27,392","87,633","87,633","87,633","87,633","87,633",,0,,0.0,"87,552","20,645","20,645","20,645","20,645","20,645",,0,,0.0,"20,480","1,010","1,010","1,010","1,010","1,010",,0,,0.0,"1,007","5,891","5,891","5,891","5,891","5,891",,0,,0.0,"5,834",-542,-542,,-542,-542,,0,,0.0,1,-5,-5,,-5,-5,,0,,0.0,1,"68,224","68,224","68,224","68,224","68,224",,0,,0.0,"67,702",-550,-550,,-550,-550,,0,,0.0,1,"1,679","1,679","1,679","1,679","1,679",,0,,0.0,"1,661",353,353,353,353,353,,0,,0.0,353,"14,656","14,656","14,656","14,656","14,656",,0,,0.0,"14,562","19,198","19,198","19,198","19,198","19,198",,0,,0.0,"18,944"
C4,1,100.0,"97,264","97,264","97,264","97,264","97,264",,0,,0.0,"97,024","109,974","109,974","109,974","109,974","109,974",,0,,0.0,"109,824","57,962","57,962","57,962","57,962","57,962",,0,,0.0,"57,856","50,092","50,092","50,092","50,092","50,092",,0,,0.0,"49,920","95,961","95,961","95,961","95,961","95,961",,0,,0.0,"95,744","34,210","34,210","34,210","34,210","34,210",,0,,0.0,"34,048","1,819","1,819","1,819","1,819","1,819",,0,,0.0,"1,809",154,154,154,154,154,,0,,0.0,152,228,228,228,228,228,,0,,0.0,225,14,14,14,14,14,,0,,0.0,13,"6,646","6,646","6,646","6,646","6,646",,0,,0.0,"6,591",687,687,687,687,687,,0,,0.0,682,12,12,12,12,12,,0,,0.0,12,32,32,32,32,32,,0,,0.0,31,"3,919","3,919","3,919","3,919","3,919",,0,,0.0,"3,901","19,738","19,738","19,738","19,738","19,738",,0,,0.0,"19,712"
C5,1,100.0,"90,141","90,141","90,141","90,141","90,141",,0,,0.0,"90,112","106,633","106,633","106,633","106,633","106,633",,0,,0.0,"106,496","55,400","55,400","55,400","55,400","55,400",,0,,0.0,"55,296","26,102","26,102","26,102","26,102","26,102",,0,,0.0,"25,856","103,705","103,705","103,705","103,705","103,705",,0,,0.0,"103,680","16,495","16,495","16,495","16,495","16,495",,0,,0.0,"16,384",424,424,424,424,424,,0,,0.0,419,105,105,105,105,105,,0,,0.0,103,102,102,102,102,102,,0,,0.0,100,291,291,291,291,291,,0,,0.0,290,"12,450","12,450","12,450","12,450","12,450",,0,,0.0,"12,427",544,544,544,544,544,,0,,0.0,541,-216,-216,,-216,-216,,0,,0.0,1,67,67,67,67,67,,0,,0.0,66,"23,245","23,245","23,245","23,245","23,245",,0,,0.0,"23,147","19,990","19,990","19,990","19,990","19,990",,0,,0.0,"19,968"
C6,1,100.0,"106,628","106,628","106,628","106,628","106,628",,0,,0.0,"106,496","116,642","116,642","116,642","116,642","116,642",,0,,0.0,"116,480","59,910","59,910","59,910","59,910","59,910",,0,,0.0,"59,904","36,715","36,715","36,715","36,715","36,715",,0,,0.0,"36,608","98,779","98,779","98,779","98,779","98,779",,0,,0.0,"98,560","24,359","24,359","24,359","24,359","24,359",,0,,0.0,"24,320",967,967,967,967,967,,0,,0.0,960,"15,788","15,788","15,788","15,788","15,788",,0,,0.0,"15,667",-729,-729,,-729,-729,,0,,0.0,1,123,123,123,123,123,,0,,0.0,121,"180,237","180,237","180,237","180,237","180,237",,0,,0.0,"179,614","-3,910","-3,910",,"-3,910","-3,910",,0,,0.0,1,-187,-187,,-187,-187,,0,,0.0,1,"1,100","1,100","1,100","1,100","1,100",,0,,0.0,"1,097","48,179","48,179","48,179","48,179","48,179",,0,,0.0,"48,117","20,210","20,210","20,210","20,210","20,210",,0,,0.0,"19,968"
C7,1,100.0,"95,985","95,985","95,985","95,985","95,985",,0,,0.0,"95,744","106,629","106,629","106,629","106,629","106,629",,0,,0.0,"106,496","58,994","58,994","58,994","58,994","58,994",,0,,0.0,"58,880","37,828","37,828","37,828","37,828","37,828",,0,,0.0,"37,632","95,332","95,332","95,332","95,332","95,332",,0,,0.0,"95,232","26,005","26,005","26,005","26,005","26,005",,0,,0.0,"25,856","1,820","1,820","1,820","1,820","1,820",,0,,0.0,"1,809","1,024","1,024","1,024","1,024","1,024",,0,,0.0,"1,020",-417,-417,,-417,-417,,0,,0.0,1,-48,-48,,-48,-48,,0,,0.0,1,"71,649","71,649","71,649","71,649","71,649",,0,,0.0,"71,087",472,472,472,472,472,,0,,0.0,467,-318,-318,,-318,-318,,0,,0.0,1,198,198,198,198,198,,0,,0.0,197,"13,152","13,152","13,152","13,152","13,152",,0,,0.0,"13,048","21,242","21,242","21,242","21,242","21,242",,0,,0.0,"20,992"
C8,1,100.0,"82,489","82,489","82,489","82,489","82,489",,0,,0.0,"82,432","98,421","98,421","98,421","98,421","98,421",,0,,0.0,"98,304","54,927","54,927","54,927","54,927","54,927",,0,,0.0,"54,784","28,905","28,905","28,905","28,905","28,905",,0,,0.0,"28,672","89,400","89,400","89,400","89,400","89,400",,0,,0.0,"89,344","21,189","21,189","21,189","21,189","21,189",,0,,0.0,"20,992",741,741,741,741,741,,0,,0.0,734,"3,911","3,911","3,911","3,911","3,911",,0,,0.0,"3,901","-1,236","-1,236",,"-1,236","-1,236",,0,,0.0,1,-62,-62,,-62,-62,,0,,0.0,1,"68,972","68,972","68,972","68,972","68,972",,0,,0.0,"68,533",-24,-24,,-24,-24,,0,,0.0,1,768,768,768,768,768,,0,,0.0,761,664,664,664,664,664,,0,,0.0,657,"41,507","41,507","41,507","41,507","41,507",,0,,0.0,"41,062","21,569","21,569","21,569","21,569","21,569",,0,,0.0,"21,504"
C9,1,100.0,"98,391","98,391","98,391","98,391","98,391",,0,,0.0,"98,304","121,409","121,409","121,409","121,409","121,409",,0,,0.0,"121,344","53,111","53,111","53,111","53,111","53,111",,0,,0.0,"52,992","23,601","23,601","23,601","23,601","23,601",,0,,0.0,"23,552","98,092","98,092","98,092","98,092","98,092",,0,,0.0,"98,048","15,768","15,768","15,768","15,768","15,768",,0,,0.0,"15,616","2,326","2,326","2,326","2,326","2,326",,0,,0.0,"2,309",666,666,666,666,666,,0,,0.0,666,112,112,112,112,112,,0,,0.0,111,40,40,40,40,40,,0,,0.0,40,"15,005","15,005","15,005","15,005","15,005",,0,,0.0,"14,921",267,267,267,267,267,,0,,0.0,267,950,950,950,950,950,,0,,0.0,948,427,427,427,427,427,,0,,0.0,424,"29,581","29,581","29,581","29,581","29,581",,0,,0.0,"29,541","22,209","22,209","22,209","22,209","22,209",,0,,0.0,"22,016"
C10,1,100.0,"94,856","94,856","94,856","94,856","94,856",,0,,0.0,"94,720","117,071","117,071","117,071","117,071","117,071",,0,,0.0,"116,992","53,100","53,100","53,100","53,100","53,100",,0,,0.0,"52,992","51,784","51,784","51,784","51,784","51,784",,0,,0.0,"51,712","102,417","102,417","102,417","102,417","102,417",,0,,0.0,"102,400","33,136","33,136","33,136","33,136","33,136",,0,,0.0,"33,024",818,818,818,818,818,,0,,0.0,809,167,167,167,167,167,,0,,0.0,166,-175,-175,,-175,-175,,0,,0.0,1,839,839,839,839,839,,0,,0.0,829,"7,406","7,406","7,406","7,406","7,406",,0,,0.0,"7,355",-319,-319,,-319,-319,,0,,0.0,1,126,126,126,126,126,,0,,0.0,125,899,899,899,899,899,,0,,0.0,892,121,121,121,121,121,,0,,0.0,119,"22,673","22,673","22,673","22,673","22,673",,0,,0.0,"22,528"
