Chip Run Info,C:\Documents and Settings\regmgka\Desktop\PCR data files\241111_GK_SEJLTHSC9+_left\ChipRun.bml,1131214095,48.48 (113x),Default-10min-Hot-Start,ROX,FAM-MGB,24/11/2011 14:45:06,01:31:39,BIOMARK190
Application Version,3.0.2
Application Build,20100811.2212
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent
ID,Name,Type,rConc,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call
S48-A48,sc_42,Unknown,1,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A01,noRT_ctrl_3,Unknown,0,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A02,noRT_ctrl_3,Unknown,0,Cebpa,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A03,noRT_ctrl_3,Unknown,0,Ebf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A04,noRT_ctrl_3,Unknown,0,Hes1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A05,noRT_ctrl_3,Unknown,0,Rbl1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A06,noRT_ctrl_3,Unknown,0,Pbx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A07,noRT_ctrl_3,Unknown,0,Bmi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A08,noRT_ctrl_3,Unknown,0,Cited2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A09,noRT_ctrl_3,Unknown,0,Epor,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A10,noRT_ctrl_3,Unknown,0,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A11,noRT_ctrl_3,Unknown,0,Rbl2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A12,noRT_ctrl_3,Unknown,0,Procr,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A13,noRT_ctrl_3,Unknown,0,Byglycan,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A14,noRT_ctrl_3,Unknown,0,Ccna2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A15,noRT_ctrl_3,Unknown,0,Esam1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A16,noRT_ctrl_3,Unknown,0,Il7r,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A17,noRT_ctrl_3,Unknown,0,p16,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A18,noRT_ctrl_3,Unknown,0,Rag1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A19,noRT_ctrl_3,Unknown,0,Cbx4,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A20,noRT_ctrl_3,Unknown,0,Ccnb2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A21,noRT_ctrl_3,Unknown,0,Flt3,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A22,noRT_ctrl_3,Unknown,0,Ikzf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A23,noRT_ctrl_3,Unknown,0,p18,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A24,noRT_ctrl_3,Unknown,0,Runx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A25,noRT_ctrl_3,Unknown,0,Cd150,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A26,noRT_ctrl_3,Unknown,0,Ccnd1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A27,noRT_ctrl_3,Unknown,0,Gata1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A28,noRT_ctrl_3,Unknown,0,ki67,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A29,noRT_ctrl_3,Unknown,0,p19,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A30,noRT_ctrl_3,Unknown,0,S100a6,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A31,noRT_ctrl_3,Unknown,0,Cd34,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A32,noRT_ctrl_3,Unknown,0,Ccne1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A33,noRT_ctrl_3,Unknown,0,Gata2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A34,noRT_ctrl_3,Unknown,0,Lck,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A35,noRT_ctrl_3,Unknown,0,p21,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A36,noRT_ctrl_3,Unknown,0,Tal1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A37,noRT_ctrl_3,Unknown,0,Cd48,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A38,noRT_ctrl_3,Unknown,0,ccnf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A39,noRT_ctrl_3,Unknown,0,Gfi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A40,noRT_ctrl_3,Unknown,0,Mpl,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A41,noRT_ctrl_3,Unknown,0,p27,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A42,noRT_ctrl_3,Unknown,0,Tie1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A43,noRT_ctrl_3,Unknown,0,Cd9,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A44,noRT_ctrl_3,Unknown,0,Ccng1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A45,noRT_ctrl_3,Unknown,0,Hoxa5,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A46,noRT_ctrl_3,Unknown,0,Mpo,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A47,noRT_ctrl_3,Unknown,0,p57,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S03-A48,noRT_ctrl_3,Unknown,0,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A01,sc_41,Unknown,1,control,Reference,,12.706126528343,0.95,Pass,0.0212016009526505,-0.727620297472756,0.94,Pass
S47-A02,sc_41,Unknown,1,Cebpa,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A03,sc_41,Unknown,1,Ebf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A04,sc_41,Unknown,1,Hes1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
