Chip Run Info,C:\Documents and Settings\regmgka\Desktop\PCR data files\241111_GK_SEJLTHSC9+_left\ChipRun.bml,1131214095,48.48 (113x),Default-10min-Hot-Start,ROX,FAM-MGB,24/11/2011 14:45:06,01:31:39,BIOMARK190
Application Version,3.0.2
Application Build,20100811.2212
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent
ID,Name,Type,rConc,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call
S43-A41,sc_37,Unknown,1,p27,Test,control,16.793528683676,0.84,Pass,0.0212016009526505,2.02926315742916,0.84,Pass
S43-A42,sc_37,Unknown,1,Tie1,Test,control,18.3879854087882,0.85,Pass,0.0212016009526505,3.62371988254133,0.85,Pass
S43-A43,sc_37,Unknown,1,Cd9,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S43-A44,sc_37,Unknown,1,Ccng1,Test,control,18.5278659758652,0.92,Pass,0.0212016009526505,3.76360044961833,0.913333333333333,Pass
S43-A45,sc_37,Unknown,1,Hoxa5,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S43-A46,sc_37,Unknown,1,Mpo,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S43-A47,sc_37,Unknown,1,p57,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S43-A48,sc_37,Unknown,1,control,Reference,,13.6659110374207,0.96,Pass,0.0212016009526505,-1.09835448882615,0.913333333333333,Pass
S04-A01,noRT_ctrl_4,Unknown,0,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A02,noRT_ctrl_4,Unknown,0,Cebpa,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A03,noRT_ctrl_4,Unknown,0,Ebf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A04,noRT_ctrl_4,Unknown,0,Hes1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A05,noRT_ctrl_4,Unknown,0,Rbl1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A06,noRT_ctrl_4,Unknown,0,Pbx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A07,noRT_ctrl_4,Unknown,0,Bmi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A08,noRT_ctrl_4,Unknown,0,Cited2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A09,noRT_ctrl_4,Unknown,0,Epor,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A10,noRT_ctrl_4,Unknown,0,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A11,noRT_ctrl_4,Unknown,0,Rbl2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A12,noRT_ctrl_4,Unknown,0,Procr,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A13,noRT_ctrl_4,Unknown,0,Byglycan,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A14,noRT_ctrl_4,Unknown,0,Ccna2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A15,noRT_ctrl_4,Unknown,0,Esam1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A16,noRT_ctrl_4,Unknown,0,Il7r,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A17,noRT_ctrl_4,Unknown,0,p16,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A18,noRT_ctrl_4,Unknown,0,Rag1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A19,noRT_ctrl_4,Unknown,0,Cbx4,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A20,noRT_ctrl_4,Unknown,0,Ccnb2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A21,noRT_ctrl_4,Unknown,0,Flt3,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A22,noRT_ctrl_4,Unknown,0,Ikzf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A23,noRT_ctrl_4,Unknown,0,p18,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A24,noRT_ctrl_4,Unknown,0,Runx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A25,noRT_ctrl_4,Unknown,0,Cd150,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A26,noRT_ctrl_4,Unknown,0,Ccnd1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A27,noRT_ctrl_4,Unknown,0,Gata1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A28,noRT_ctrl_4,Unknown,0,ki67,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A29,noRT_ctrl_4,Unknown,0,p19,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A30,noRT_ctrl_4,Unknown,0,S100a6,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A31,noRT_ctrl_4,Unknown,0,Cd34,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A32,noRT_ctrl_4,Unknown,0,Ccne1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A33,noRT_ctrl_4,Unknown,0,Gata2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A34,noRT_ctrl_4,Unknown,0,Lck,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A35,noRT_ctrl_4,Unknown,0,p21,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A36,noRT_ctrl_4,Unknown,0,Tal1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A37,noRT_ctrl_4,Unknown,0,Cd48,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A38,noRT_ctrl_4,Unknown,0,ccnf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A39,noRT_ctrl_4,Unknown,0,Gfi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A40,noRT_ctrl_4,Unknown,0,Mpl,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A41,noRT_ctrl_4,Unknown,0,p27,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A42,noRT_ctrl_4,Unknown,0,Tie1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A43,noRT_ctrl_4,Unknown,0,Cd9,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A44,noRT_ctrl_4,Unknown,0,Ccng1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A45,noRT_ctrl_4,Unknown,0,Hoxa5,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A46,noRT_ctrl_4,Unknown,0,Mpo,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A47,noRT_ctrl_4,Unknown,0,p57,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S04-A48,noRT_ctrl_4,Unknown,0,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A01,sc_36,Unknown,1,control,Reference,,13.9819774057998,0.91,Pass,0.0212016009526505,-1.46908784249857,0.885,Pass
S42-A02,sc_36,Unknown,1,Cebpa,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A03,sc_36,Unknown,1,Ebf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A04,sc_36,Unknown,1,Hes1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A05,sc_36,Unknown,1,Rbl1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A06,sc_36,Unknown,1,Pbx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A07,sc_36,Unknown,1,Bmi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A08,sc_36,Unknown,1,Cited2,Test,control,16.8431900847014,0.93,Pass,0.0212016009526505,1.39212483640296,0.885,Pass
S42-A09,sc_36,Unknown,1,Epor,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A10,sc_36,Unknown,1,control,Reference,,16.920153090797,0.86,Pass,0.0212016009526505,1.46908784249857,0.86,Pass
S42-A11,sc_36,Unknown,1,Rbl2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A12,sc_36,Unknown,1,Procr,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A13,sc_36,Unknown,1,Byglycan,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A14,sc_36,Unknown,1,Ccna2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A15,sc_36,Unknown,1,Esam1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A16,sc_36,Unknown,1,Il7r,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A17,sc_36,Unknown,1,p16,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A18,sc_36,Unknown,1,Rag1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A19,sc_36,Unknown,1,Cbx4,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A20,sc_36,Unknown,1,Ccnb2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A21,sc_36,Unknown,1,Flt3,Test,control,29.2245377316932,0.69,Pass,0.0212016009526505,13.7734724833948,0.69,Pass
S42-A22,sc_36,Unknown,1,Ikzf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A23,sc_36,Unknown,1,p18,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A24,sc_36,Unknown,1,Runx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A25,sc_36,Unknown,1,Cd150,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A26,sc_36,Unknown,1,Ccnd1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A27,sc_36,Unknown,1,Gata1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A28,sc_36,Unknown,1,ki67,Test,control,16.1534129384109,0.98,Pass,0.0212016009526505,0.702347690112468,0.885,Pass
S42-A29,sc_36,Unknown,1,p19,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A30,sc_36,Unknown,1,S100a6,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A31,sc_36,Unknown,1,Cd34,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A32,sc_36,Unknown,1,Ccne1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A33,sc_36,Unknown,1,Gata2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A34,sc_36,Unknown,1,Lck,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A35,sc_36,Unknown,1,p21,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A36,sc_36,Unknown,1,Tal1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A37,sc_36,Unknown,1,Cd48,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A38,sc_36,Unknown,1,ccnf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A39,sc_36,Unknown,1,Gfi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A40,sc_36,Unknown,1,Mpl,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A41,sc_36,Unknown,1,p27,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A42,sc_36,Unknown,1,Tie1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A43,sc_36,Unknown,1,Cd9,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A44,sc_36,Unknown,1,Ccng1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A45,sc_36,Unknown,1,Hoxa5,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A46,sc_36,Unknown,1,Mpo,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A47,sc_36,Unknown,1,p57,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S42-A48,sc_36,Unknown,1,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A01,sc_3,Unknown,1,control,Reference,,13.3140007290759,0.94,Pass,0.0212016009526505,-0.867749439388055,0.93,Pass
S09-A02,sc_3,Unknown,1,Cebpa,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A03,sc_3,Unknown,1,Ebf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A04,sc_3,Unknown,1,Hes1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A05,sc_3,Unknown,1,Rbl1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A06,sc_3,Unknown,1,Pbx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A07,sc_3,Unknown,1,Bmi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A08,sc_3,Unknown,1,Cited2,Test,control,14.1255335430759,0.95,Pass,0.0212016009526505,-0.0562166253880356,0.93,Pass
S09-A09,sc_3,Unknown,1,Epor,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A10,sc_3,Unknown,1,control,Reference,,16.0817923629727,0.9,Pass,0.0212016009526505,1.90004219450877,0.9,Pass
S09-A11,sc_3,Unknown,1,Rbl2,Test,control,20.8193700126072,0.93,Pass,0.0212016009526505,6.63761984414324,0.93,Pass
S09-A12,sc_3,Unknown,1,Procr,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A13,sc_3,Unknown,1,Byglycan,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A14,sc_3,Unknown,1,Ccna2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A15,sc_3,Unknown,1,Esam1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A16,sc_3,Unknown,1,Il7r,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A17,sc_3,Unknown,1,p16,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A18,sc_3,Unknown,1,Rag1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A19,sc_3,Unknown,1,Cbx4,Test,control,18.4788178597173,0.91,Pass,0.0212016009526505,4.29706769125332,0.91,Pass
S09-A20,sc_3,Unknown,1,Ccnb2,Test,control,16.7261169555384,0.83,Pass,0.0212016009526505,2.54436678707442,0.83,Pass
S09-A21,sc_3,Unknown,1,Flt3,Test,control,30.7194064253328,0.63,Fail,0.0212016009526505,16.5376562568688,0.63,Fail
S09-A22,sc_3,Unknown,1,Ikzf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A23,sc_3,Unknown,1,p18,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A24,sc_3,Unknown,1,Runx1,Test,control,17.5672402199979,0.96,Pass,0.0212016009526505,3.38549005153395,0.93,Pass
S09-A25,sc_3,Unknown,1,Cd150,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A26,sc_3,Unknown,1,Ccnd1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A27,sc_3,Unknown,1,Gata1,Test,control,15.2458786531138,0.92,Pass,0.0212016009526505,1.06412848464987,0.92,Pass
S09-A28,sc_3,Unknown,1,ki67,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A29,sc_3,Unknown,1,p19,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A30,sc_3,Unknown,1,S100a6,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A31,sc_3,Unknown,1,Cd34,Test,control,16.1947234682852,0.91,Pass,0.0212016009526505,2.01297329982119,0.91,Pass
S09-A32,sc_3,Unknown,1,Ccne1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A33,sc_3,Unknown,1,Gata2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A34,sc_3,Unknown,1,Lck,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A35,sc_3,Unknown,1,p21,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A36,sc_3,Unknown,1,Tal1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A37,sc_3,Unknown,1,Cd48,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A38,sc_3,Unknown,1,ccnf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A39,sc_3,Unknown,1,Gfi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A40,sc_3,Unknown,1,Mpl,Test,control,13.7140761796278,0.95,Pass,0.0212016009526505,-0.467673988836133,0.93,Pass
S09-A41,sc_3,Unknown,1,p27,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A42,sc_3,Unknown,1,Tie1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A43,sc_3,Unknown,1,Cd9,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A44,sc_3,Unknown,1,Ccng1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A45,sc_3,Unknown,1,Hoxa5,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A46,sc_3,Unknown,1,Mpo,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A47,sc_3,Unknown,1,p57,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S09-A48,sc_3,Unknown,1,control,Reference,,13.1494574133432,0.95,Pass,0.0212016009526505,-1.03229275512072,0.93,Pass
S41-A01,sc_35,Unknown,1,control,Reference,,8.93759692991868,0.93,Pass,0.0212016009526505,-1.33077961789018,0.906666666666667,Pass
S41-A02,sc_35,Unknown,1,Cebpa,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A03,sc_35,Unknown,1,Ebf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A04,sc_35,Unknown,1,Hes1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A05,sc_35,Unknown,1,Rbl1,Test,control,16.8486387322826,0.86,Pass,0.0212016009526505,6.58026218447372,0.86,Pass
S41-A06,sc_35,Unknown,1,Pbx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A07,sc_35,Unknown,1,Bmi1,Test,control,20.6680658800352,0.85,Pass,0.0212016009526505,10.3996893322263,0.85,Pass
S41-A08,sc_35,Unknown,1,Cited2,Test,control,13.8198137981566,0.9,Pass,0.0212016009526505,3.55143725034775,0.9,Pass
S41-A09,sc_35,Unknown,1,Epor,Test,control,13.021952819537,0.91,Pass,0.0212016009526505,2.75357627172817,0.906666666666667,Pass
S41-A10,sc_35,Unknown,1,control,Reference,,11.6223936552093,0.84,Pass,0.0212016009526505,1.35401710740047,0.84,Pass
S41-A11,sc_35,Unknown,1,Rbl2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A12,sc_35,Unknown,1,Procr,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A13,sc_35,Unknown,1,Byglycan,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A14,sc_35,Unknown,1,Ccna2,Test,control,13.7248525121091,0.82,Pass,0.0212016009526505,3.45647596430025,0.82,Pass
S41-A15,sc_35,Unknown,1,Esam1,Test,control,16.4598453589138,0.93,Pass,0.0212016009526505,6.19146881110498,0.906666666666667,Pass
S41-A16,sc_35,Unknown,1,Il7r,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A17,sc_35,Unknown,1,p16,Test,control,16.7250276816672,0.89,Pass,0.0212016009526505,6.45665113385838,0.89,Pass
S41-A18,sc_35,Unknown,1,Rag1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A19,sc_35,Unknown,1,Cbx4,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A20,sc_35,Unknown,1,Ccnb2,Test,control,13.6267666779526,0.81,Pass,0.0212016009526505,3.35839013014371,0.81,Pass
S41-A21,sc_35,Unknown,1,Flt3,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A22,sc_35,Unknown,1,Ikzf1,Test,control,17.5977199405203,0.96,Pass,0.0212016009526505,7.32934339271141,0.906666666666667,Pass
S41-A23,sc_35,Unknown,1,p18,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A24,sc_35,Unknown,1,Runx1,Test,control,16.7319819702766,0.97,Pass,0.0212016009526505,6.46360542246771,0.906666666666667,Pass
S41-A25,sc_35,Unknown,1,Cd150,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A26,sc_35,Unknown,1,Ccnd1,Test,control,13.7649839124925,0.93,Pass,0.0212016009526505,3.49660736468364,0.906666666666667,Pass
S41-A27,sc_35,Unknown,1,Gata1,Test,control,14.1983158950928,0.87,Pass,0.0212016009526505,3.92993934728396,0.87,Pass
S41-A28,sc_35,Unknown,1,ki67,Test,control,12.852239791995,0.98,Pass,0.0212016009526505,2.58386324418614,0.906666666666667,Pass
S41-A29,sc_35,Unknown,1,p19,Test,control,16.183087667103,0.91,Pass,0.0212016009526505,5.91471111929415,0.906666666666667,Pass
S41-A30,sc_35,Unknown,1,S100a6,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A31,sc_35,Unknown,1,Cd34,Test,control,17.758885354197,0.8,Pass,0.0212016009526505,7.49050880638813,0.8,Pass
S41-A32,sc_35,Unknown,1,Ccne1,Test,control,13.1137993839853,0.96,Pass,0.0212016009526505,2.84542283617649,0.906666666666667,Pass
S41-A33,sc_35,Unknown,1,Gata2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A34,sc_35,Unknown,1,Lck,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A35,sc_35,Unknown,1,p21,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A36,sc_35,Unknown,1,Tal1,Test,control,14.2858584342305,0.88,Pass,0.0212016009526505,4.01748188642161,0.88,Pass
S41-A37,sc_35,Unknown,1,Cd48,Test,control,17.5803711676308,0.9,Pass,0.0212016009526505,7.31199461982192,0.9,Pass
S41-A38,sc_35,Unknown,1,ccnf1,Test,control,14.524747792757,0.82,Pass,0.0212016009526505,4.2563712449481,0.82,Pass
S41-A39,sc_35,Unknown,1,Gfi1,Test,control,32.424391093466,0.48,Fail,0.0212016009526505,22.1560145456571,0.48,Fail
S41-A40,sc_35,Unknown,1,Mpl,Test,control,15.619814537364,0.97,Pass,0.0212016009526505,5.35143798955513,0.906666666666667,Pass
S41-A41,sc_35,Unknown,1,p27,Test,control,16.4143405838557,0.78,Pass,0.0212016009526505,6.14596403604681,0.78,Pass
S41-A42,sc_35,Unknown,1,Tie1,Test,control,15.4390671038539,0.86,Pass,0.0212016009526505,5.17069055604503,0.86,Pass
S41-A43,sc_35,Unknown,1,Cd9,Test,control,33.7767953817857,0.49,Fail,0.0212016009526505,23.5084188339768,0.49,Fail
S41-A44,sc_35,Unknown,1,Ccng1,Test,control,14.61253842755,0.91,Pass,0.0212016009526505,4.34416187974117,0.906666666666667,Pass
S41-A45,sc_35,Unknown,1,Hoxa5,Test,control,35.7445526351641,0.42,Fail,0.0212016009526505,25.4761760873553,0.42,Fail
S41-A46,sc_35,Unknown,1,Mpo,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A47,sc_35,Unknown,1,p57,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S41-A48,sc_35,Unknown,1,control,Reference,,10.2451390582986,0.95,Pass,0.0212016009526505,-0.0232374895102918,0.906666666666667,Pass
S08-A01,sc_2,Unknown,1,control,Reference,,14.630126637453,0.91,Pass,0.0212016009526505,-0.474390117151762,0.91,Pass
S08-A02,sc_2,Unknown,1,Cebpa,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A03,sc_2,Unknown,1,Ebf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A04,sc_2,Unknown,1,Hes1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A05,sc_2,Unknown,1,Rbl1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A06,sc_2,Unknown,1,Pbx1,Test,control,16.2373446490116,0.85,Pass,0.0212016009526505,1.1328278944068,0.85,Pass
S08-A07,sc_2,Unknown,1,Bmi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A08,sc_2,Unknown,1,Cited2,Test,control,14.6969523263224,0.93,Pass,0.0212016009526505,-0.407564428282349,0.916666666666667,Pass
S08-A09,sc_2,Unknown,1,Epor,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A10,sc_2,Unknown,1,control,Reference,,18.2379957540283,0.88,Pass,0.0212016009526505,3.13347899942351,0.88,Pass
S08-A11,sc_2,Unknown,1,Rbl2,Test,control,17.9083173145468,0.84,Pass,0.0212016009526505,2.803800559942,0.84,Pass
S08-A12,sc_2,Unknown,1,Procr,Test,control,22.7967759695008,0.93,Pass,0.0212016009526505,7.69225921489602,0.916666666666667,Pass
S08-A13,sc_2,Unknown,1,Byglycan,Test,control,15.6807967967471,0.93,Pass,0.0212016009526505,0.576280042142374,0.916666666666667,Pass
S08-A14,sc_2,Unknown,1,Ccna2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A15,sc_2,Unknown,1,Esam1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A16,sc_2,Unknown,1,Il7r,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A17,sc_2,Unknown,1,p16,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A18,sc_2,Unknown,1,Rag1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A19,sc_2,Unknown,1,Cbx4,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A20,sc_2,Unknown,1,Ccnb2,Test,control,35.8910513177118,0,Fail,0.0212016009526505,20.786534563107,0,Fail
S08-A21,sc_2,Unknown,1,Flt3,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A22,sc_2,Unknown,1,Ikzf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A23,sc_2,Unknown,1,p18,Test,control,38.5128458315116,0.2,Fail,0.0212016009526505,23.4083290769069,0.2,Fail
S08-A24,sc_2,Unknown,1,Runx1,Test,control,17.1299257139982,0.94,Pass,0.0212016009526505,2.0254089593934,0.916666666666667,Pass
S08-A25,sc_2,Unknown,1,Cd150,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S08-A26,sc_2,Unknown,1,Ccnd1,Test,control,36.121996483828,0,Fail,0.0212016009526505,21.0174797292232,0,Fail
S08-A27,sc_2,Unknown,1,Gata1,Test,control,38.5659242339036,0.17,Fail,0.0212016009526505,23.4614074792989,0.17,Fail
S08-A28,sc_2,Unknown,1,ki67,Test,control,16.4434691992918,0.95,Pass,0.0212016009526505,1.33895244468706,0.916666666666667,Pass
S08-A29,sc_2,Unknown,1,p19,Test,control,33.5082396312749,0.5,Fail,0.0212016009526505,18.4037228766701,0.5,Fail
S08-A30,sc_2,Unknown,1,S100a6,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
