Experiment Name,141020 Index sort for fluidigm 96X96
Specimen Name,Specimen_001
Tube Name,INX_141020 Plate #3_001
Record Date,"Oct 20, 2014 9:28:30 PM"
$OP, 
GUID,27a106a9-eba3-4309-863a-5066a2c91b35 
Date Analyzed,10/28/2014 14:17

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P5 #Events,P5 %Parent,P5 FSC-A Min,P5 FSC-A Max,P5 FSC-A Geo Mean,P5 FSC-A Mean,P5 FSC-A Median,P5 FSC-A SD,P5 FSC-A rSD,P5 FSC-A %CV,P5 FSC-A %rCV,P5 FSC-A Mode,P5 FSC-W Min,P5 FSC-W Max,P5 FSC-W Geo Mean,P5 FSC-W Mean,P5 FSC-W Median,P5 FSC-W SD,P5 FSC-W rSD,P5 FSC-W %CV,P5 FSC-W %rCV,P5 FSC-W Mode,P5 FSC-H Min,P5 FSC-H Max,P5 FSC-H Geo Mean,P5 FSC-H Mean,P5 FSC-H Median,P5 FSC-H SD,P5 FSC-H rSD,P5 FSC-H %CV,P5 FSC-H %rCV,P5 FSC-H Mode,P5 SSC-A Min,P5 SSC-A Max,P5 SSC-A Geo Mean,P5 SSC-A Mean,P5 SSC-A Median,P5 SSC-A SD,P5 SSC-A rSD,P5 SSC-A %CV,P5 SSC-A %rCV,P5 SSC-A Mode,P5 CD41 Alexa Fluor 488-A Min,P5 CD41 Alexa Fluor 488-A Max,P5 CD41 Alexa Fluor 488-A Geo Mean,P5 CD41 Alexa Fluor 488-A Mean,P5 CD41 Alexa Fluor 488-A Median,P5 CD41 Alexa Fluor 488-A SD,P5 CD41 Alexa Fluor 488-A rSD,P5 CD41 Alexa Fluor 488-A %CV,P5 CD41 Alexa Fluor 488-A %rCV,P5 CD41 Alexa Fluor 488-A Mode,P5 CD55 PE-A Min,P5 CD55 PE-A Max,P5 CD55 PE-A Geo Mean,P5 CD55 PE-A Mean,P5 CD55 PE-A Median,P5 CD55 PE-A SD,P5 CD55 PE-A rSD,P5 CD55 PE-A %CV,P5 CD55 PE-A %rCV,P5 CD55 PE-A Mode,P5 CD45-2 PE-Texas Red-A Min,P5 CD45-2 PE-Texas Red-A Max,P5 CD45-2 PE-Texas Red-A Geo Mean,P5 CD45-2 PE-Texas Red-A Mean,P5 CD45-2 PE-Texas Red-A Median,P5 CD45-2 PE-Texas Red-A SD,P5 CD45-2 PE-Texas Red-A rSD,P5 CD45-2 PE-Texas Red-A %CV,P5 CD45-2 PE-Texas Red-A %rCV,P5 CD45-2 PE-Texas Red-A Mode,P5 Lineage PE-Cy5-A Min,P5 Lineage PE-Cy5-A Max,P5 Lineage PE-Cy5-A Geo Mean,P5 Lineage PE-Cy5-A Mean,P5 Lineage PE-Cy5-A Median,P5 Lineage PE-Cy5-A SD,P5 Lineage PE-Cy5-A rSD,P5 Lineage PE-Cy5-A %CV,P5 Lineage PE-Cy5-A %rCV,P5 Lineage PE-Cy5-A Mode,P5 PI PerCP-Cy5-5-A Min,P5 PI PerCP-Cy5-5-A Max,P5 PI PerCP-Cy5-5-A Geo Mean,P5 PI PerCP-Cy5-5-A Mean,P5 PI PerCP-Cy5-5-A Median,P5 PI PerCP-Cy5-5-A SD,P5 PI PerCP-Cy5-5-A rSD,P5 PI PerCP-Cy5-5-A %CV,P5 PI PerCP-Cy5-5-A %rCV,P5 PI PerCP-Cy5-5-A Mode,P5 CD105 PE-Cy7-A Min,P5 CD105 PE-Cy7-A Max,P5 CD105 PE-Cy7-A Geo Mean,P5 CD105 PE-Cy7-A Mean,P5 CD105 PE-Cy7-A Median,P5 CD105 PE-Cy7-A SD,P5 CD105 PE-Cy7-A rSD,P5 CD105 PE-Cy7-A %CV,P5 CD105 PE-Cy7-A %rCV,P5 CD105 PE-Cy7-A Mode,P5 CD150 APC-A Min,P5 CD150 APC-A Max,P5 CD150 APC-A Geo Mean,P5 CD150 APC-A Mean,P5 CD150 APC-A Median,P5 CD150 APC-A SD,P5 CD150 APC-A rSD,P5 CD150 APC-A %CV,P5 CD150 APC-A %rCV,P5 CD150 APC-A Mode,P5 FcgR Alexa Fluor 700-A Min,P5 FcgR Alexa Fluor 700-A Max,P5 FcgR Alexa Fluor 700-A Geo Mean,P5 FcgR Alexa Fluor 700-A Mean,P5 FcgR Alexa Fluor 700-A Median,P5 FcgR Alexa Fluor 700-A SD,P5 FcgR Alexa Fluor 700-A rSD,P5 FcgR Alexa Fluor 700-A %CV,P5 FcgR Alexa Fluor 700-A %rCV,P5 FcgR Alexa Fluor 700-A Mode,P5 cKit APC-Cy7-A Min,P5 cKit APC-Cy7-A Max,P5 cKit APC-Cy7-A Geo Mean,P5 cKit APC-Cy7-A Mean,P5 cKit APC-Cy7-A Median,P5 cKit APC-Cy7-A SD,P5 cKit APC-Cy7-A rSD,P5 cKit APC-Cy7-A %CV,P5 cKit APC-Cy7-A %rCV,P5 cKit APC-Cy7-A Mode,P5 Sca1 DAPI-A Min,P5 Sca1 DAPI-A Max,P5 Sca1 DAPI-A Geo Mean,P5 Sca1 DAPI-A Mean,P5 Sca1 DAPI-A Median,P5 Sca1 DAPI-A SD,P5 Sca1 DAPI-A rSD,P5 Sca1 DAPI-A %CV,P5 Sca1 DAPI-A %rCV,P5 Sca1 DAPI-A Mode,P5 CD115 BV605 Qdot 605-A Min,P5 CD115 BV605 Qdot 605-A Max,P5 CD115 BV605 Qdot 605-A Geo Mean,P5 CD115 BV605 Qdot 605-A Mean,P5 CD115 BV605 Qdot 605-A Median,P5 CD115 BV605 Qdot 605-A SD,P5 CD115 BV605 Qdot 605-A rSD,P5 CD115 BV605 Qdot 605-A %CV,P5 CD115 BV605 Qdot 605-A %rCV,P5 CD115 BV605 Qdot 605-A Mode,P5 Time Min,P5 Time Max,P5 Time Geo Mean,P5 Time Mean,P5 Time Median,P5 Time SD,P5 Time rSD,P5 Time %CV,P5 Time %rCV,P5 Time Mode
A1,1,100.0,"209,751","209,751","209,751","209,751","209,751",,0,,0.0,"209,664","97,811","97,811","97,811","97,811","97,811",,0,,0.0,"97,792","140,539","140,539","140,539","140,539","140,539",,0,,0.0,"140,288","129,014","129,014","129,014","129,014","129,014",,0,,0.0,"128,768",85,85,85,85,85,,0,,0.0,85,14,14,14,14,14,,0,,0.0,14,692,692,692,692,692,,0,,0.0,690,"4,155","4,155","4,155","4,155","4,155",,0,,0.0,"4,146",-261,-261,,-261,-261,,0,,0.0,1,191,191,191,191,191,,0,,0.0,189,17,17,17,17,17,,0,,0.0,16,888,888,888,888,888,,0,,0.0,881,414,414,414,414,414,,0,,0.0,414,173,173,173,173,173,,0,,0.0,172,"29,548","29,548","29,548","29,548","29,548",,0,,0.0,"29,541","1,785","1,785","1,785","1,785","1,785",,0,,0.0,"1,536"
A2,1,100.0,"204,834","204,834","204,834","204,834","204,834",,0,,0.0,"204,800","96,600","96,600","96,600","96,600","96,600",,0,,0.0,"96,512","138,965","138,965","138,965","138,965","138,965",,0,,0.0,"138,752","101,361","101,361","101,361","101,361","101,361",,0,,0.0,"101,120",119,119,119,119,119,,0,,0.0,118,27,27,27,27,27,,0,,0.0,26,897,897,897,897,897,,0,,0.0,892,"1,425","1,425","1,425","1,425","1,425",,0,,0.0,"1,418",8,8,8,8,8,,0,,0.0,7,165,165,165,165,165,,0,,0.0,164,85,85,85,85,85,,0,,0.0,85,457,457,457,457,457,,0,,0.0,456,519,519,519,519,519,,0,,0.0,515,141,141,141,141,141,,0,,0.0,140,"50,897","50,897","50,897","50,897","50,897",,0,,0.0,"50,522","1,894","1,894","1,894","1,894","1,894",,0,,0.0,"1,792"
A3,1,100.0,"184,108","184,108","184,108","184,108","184,108",,0,,0.0,"184,064","94,273","94,273","94,273","94,273","94,273",,0,,0.0,"94,208","127,987","127,987","127,987","127,987","127,987",,0,,0.0,"127,744","84,098","84,098","84,098","84,098","84,098",,0,,0.0,"83,968",72,72,72,72,72,,0,,0.0,71,128,128,128,128,128,,0,,0.0,127,"1,518","1,518","1,518","1,518","1,518",,0,,0.0,"1,507","3,873","3,873","3,873","3,873","3,873",,0,,0.0,"3,854",67,67,67,67,67,,0,,0.0,66,589,589,589,589,589,,0,,0.0,582,-112,-112,,-112,-112,,0,,0.0,1,30,30,30,30,30,,0,,0.0,29,"1,247","1,247","1,247","1,247","1,247",,0,,0.0,"1,240",156,156,156,156,156,,0,,0.0,156,-755,-755,,-755,-755,,0,,0.0,1,"2,138","2,138","2,138","2,138","2,138",,0,,0.0,"2,048"
A4,1,100.0,"208,824","208,824","208,824","208,824","208,824",,0,,0.0,"208,640","97,945","97,945","97,945","97,945","97,945",,0,,0.0,"97,792","139,727","139,727","139,727","139,727","139,727",,0,,0.0,"139,520","130,490","130,490","130,490","130,490","130,490",,0,,0.0,"130,304",79,79,79,79,79,,0,,0.0,79,80,80,80,80,80,,0,,0.0,79,"1,645","1,645","1,645","1,645","1,645",,0,,0.0,"1,641","7,224","7,224","7,224","7,224","7,224",,0,,0.0,"7,178",-168,-168,,-168,-168,,0,,0.0,1,235,235,235,235,235,,0,,0.0,233,-212,-212,,-212,-212,,0,,0.0,1,385,385,385,385,385,,0,,0.0,384,556,556,556,556,556,,0,,0.0,554,146,146,146,146,146,,0,,0.0,145,"1,346","1,346","1,346","1,346","1,346",,0,,0.0,"1,334","2,337","2,337","2,337","2,337","2,337",,0,,0.0,"2,304"
A5,1,100.0,"151,918","151,918","151,918","151,918","151,918",,0,,0.0,"151,808","92,812","92,812","92,812","92,812","92,812",,0,,0.0,"92,672","107,272","107,272","107,272","107,272","107,272",,0,,0.0,"107,264","62,253","62,253","62,253","62,253","62,253",,0,,0.0,"62,208",98,98,98,98,98,,0,,0.0,97,"2,869","2,869","2,869","2,869","2,869",,0,,0.0,"2,841","1,975","1,975","1,975","1,975","1,975",,0,,0.0,"1,970","3,137","3,137","3,137","3,137","3,137",,0,,0.0,"3,132",-536,-536,,-536,-536,,0,,0.0,1,-14,-14,,-14,-14,,0,,0.0,1,331,331,331,331,331,,0,,0.0,328,72,72,72,72,72,,0,,0.0,71,706,706,706,706,706,,0,,0.0,699,127,127,127,127,127,,0,,0.0,127,738,738,738,738,738,,0,,0.0,734,"2,529","2,529","2,528","2,529","2,529",,0,,0.0,"2,304"
A6,1,100.0,"199,708","199,708","199,708","199,708","199,708",,0,,0.0,"199,680","94,482","94,482","94,482","94,482","94,482",,0,,0.0,"94,464","138,524","138,524","138,524","138,524","138,524",,0,,0.0,"138,496","119,131","119,131","119,131","119,131","119,131",,0,,0.0,"119,040",137,137,137,137,137,,0,,0.0,135,105,105,105,105,105,,0,,0.0,103,"1,736","1,736","1,736","1,736","1,736",,0,,0.0,"1,723","6,103","6,103","6,103","6,103","6,103",,0,,0.0,"6,051",-450,-450,,-450,-450,,0,,0.0,1,-115,-115,,-115,-115,,0,,0.0,1,-249,-249,,-249,-249,,0,,0.0,1,356,356,356,356,356,,0,,0.0,353,575,575,575,575,575,,0,,0.0,575,103,103,103,103,103,,0,,0.0,102,"8,184","8,184","8,184","8,184","8,184",,0,,0.0,"8,109","2,722","2,722","2,722","2,722","2,722",,0,,0.0,"2,560"
A7,1,100.0,"140,094","140,094","140,094","140,094","140,094",,0,,0.0,"140,032","88,602","88,602","88,602","88,602","88,602",,0,,0.0,"88,576","103,623","103,623","103,623","103,623","103,623",,0,,0.0,"103,424","34,265","34,265","34,265","34,265","34,265",,0,,0.0,"34,048",32,32,32,32,32,,0,,0.0,32,"1,631","1,631","1,631","1,631","1,631",,0,,0.0,"1,621","1,143","1,143","1,143","1,143","1,143",,0,,0.0,"1,138","1,869","1,869","1,869","1,869","1,869",,0,,0.0,"1,854",102,102,102,102,102,,0,,0.0,102,219,219,219,219,219,,0,,0.0,217,358,358,358,358,358,,0,,0.0,357,120,120,120,120,120,,0,,0.0,119,842,842,842,842,842,,0,,0.0,839,2,2,2,2,2,,0,,0.0,1,667,667,667,667,667,,0,,0.0,666,"2,919","2,919","2,919","2,919","2,919",,0,,0.0,"2,816"
A8,1,100.0,"192,680","192,680","192,680","192,680","192,680",,0,,0.0,"192,512","95,149","95,149","95,149","95,149","95,149",,0,,0.0,"94,976","132,713","132,713","132,713","132,713","132,713",,0,,0.0,"132,608","50,023","50,023","50,023","50,023","50,023",,0,,0.0,"49,920",40,40,40,40,40,,0,,0.0,40,"2,291","2,291","2,291","2,291","2,291",,0,,0.0,"2,281",193,193,193,193,193,,0,,0.0,192,392,392,392,392,392,,0,,0.0,389,-17,-17,,-17,-17,,0,,0.0,1,"3,144","3,144","3,144","3,144","3,144",,0,,0.0,"3,132",30,30,30,30,30,,0,,0.0,30,-75,-75,,-75,-75,,0,,0.0,1,"2,007","2,007","2,007","2,007","2,007",,0,,0.0,"1,995",15,15,15,15,15,,0,,0.0,14,-150,-150,,-150,-150,,0,,0.0,1,"3,110","3,110","3,110","3,110","3,110",,0,,0.0,"3,072"
A9,1,100.0,"142,478","142,478","142,478","142,478","142,478",,0,,0.0,"142,336","88,820","88,820","88,820","88,820","88,820",,0,,0.0,"88,576","105,128","105,128","105,128","105,128","105,128",,0,,0.0,"104,960","61,666","61,666","61,666","61,666","61,666",,0,,0.0,"61,440",92,92,92,92,92,,0,,0.0,91,"1,484","1,484","1,484","1,484","1,484",,0,,0.0,"1,470","1,518","1,518","1,518","1,518","1,518",,0,,0.0,"1,507",895,895,895,895,895,,0,,0.0,892,-90,-90,,-90,-90,,0,,0.0,1,272,272,272,272,272,,0,,0.0,270,347,347,347,347,347,,0,,0.0,344,43,43,43,43,43,,0,,0.0,42,779,779,779,779,779,,0,,0.0,770,-3,-3,,-3,-3,,0,,0.0,1,202,202,202,202,202,,0,,0.0,201,"3,307","3,307","3,307","3,307","3,307",,0,,0.0,"3,072"
A10,1,100.0,"197,621","197,621","197,621","197,621","197,621",,0,,0.0,"197,376","94,917","94,917","94,917","94,917","94,917",,0,,0.0,"94,720","136,448","136,448","136,448","136,448","136,448",,0,,0.0,"136,448","74,198","74,198","74,198","74,198","74,198",,0,,0.0,"73,984",50,50,50,50,50,,0,,0.0,49,"2,824","2,824","2,824","2,824","2,824",,0,,0.0,"2,806",946,946,946,946,946,,0,,0.0,936,"2,748","2,748","2,748","2,748","2,748",,0,,0.0,"2,739",-239,-239,,-239,-239,,0,,0.0,1,"2,777","2,777","2,777","2,777","2,777",,0,,0.0,"2,772",305,305,305,305,305,,0,,0.0,305,-46,-46,,-46,-46,,0,,0.0,1,"1,357","1,357","1,357","1,357","1,357",,0,,0.0,"1,350",8,8,8,8,8,,0,,0.0,8,"3,704","3,704","3,704","3,704","3,704",,0,,0.0,"3,670","3,504","3,504","3,504","3,504","3,504",,0,,0.0,"3,328"
